item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC026-WEB-001,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-03,website,https://www.voamnwi.org/voa-high-school,newsletter,"The Future is Bright - November 2025","VOA High School newsletter dated November 3, 2025 highlights the new school year and Warrior Academy partnership.",English,text,,uncoded,2026-09-22,retrieved,"Official VOA High School page","Routine program communication retained."
TC026-WEB-002,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,https://www.voamnwi.org/amicus,newsletter,"The latest Amicus newsletter is here!","Amicus newsletter dated November 4, 2025 emphasizes hope, perseverance, and supporter involvement.",English,text,,uncoded,2026-09-22,retrieved,"Official Amicus page","Routine program communication retained."
TC026-WEB-003,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,https://www.voamnwi.org/stories-news,story,"New Beginnings: Sisters Helping Sisters Graduation","Official Stories & News archive lists a graduation story dated November 4, 2025.",English,text,,uncoded,2026-09-22,retrieved,"Official Stories & News archive","Distinct communication item from the Amicus newsletter."
TC026-WEB-004,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-07,website,https://www.voamnwi.org/warrior-academy-cultivating-pathway-possibility,story,"Warrior Academy: Cultivating a Pathway to Possibility","Story describes VOA High School's partnership with Warrior Academy and support for student growth.",English,text,,uncoded,2026-09-22,retrieved,"Official Stories & News page","Routine education/program communication retained."
TC026-WEB-005,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-05,website,https://www.voamnwi.org/stories-news,story,"A One to One Journey of Life Changing Friendship","Official Stories & News archive lists the story dated February 5, 2026.",English,text,,uncoded,2026-09-22,retrieved,"Official Stories & News archive","Routine program story retained."
TC026-WEB-006,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-10,website,https://www.voamnwi.org/amicus,newsletter,"Carrying Hope Into 2026: Stories That Stay With Us","Amicus newsletter dated February 10, 2026 revisits stories from 2025 and emphasizes transformation and fresh starts.",English,text,,uncoded,2026-09-22,retrieved,"Official Amicus page","Routine organizational communication retained."
TC026-WEB-007,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-12,website,https://www.voamnwi.org/voa-high-school,newsletter,"The Future is Bright - February 2026","VOA High School newsletter dated February 12, 2026 celebrates 2025 student milestones and community partnerships.",English,text,,uncoded,2026-09-22,retrieved,"Official VOA High School page","Routine program communication retained."
TC026-WEB-008,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-13,website,https://www.voamnwi.org/voa-newsletter-archive,newsletter,"Thank you for helping us lead with heart","Official newsletter archive lists the organization-wide communication dated February 13, 2026.",English,text,,uncoded,2026-09-22,retrieved,"Official newsletter archive","Routine organizational communication retained."
TC026-WEB-009,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-18,website,https://www.voamnwi.org/voa-newsletter-archive,newsletter,"The latest SJ CPE Newsletter is here!","Official newsletter archive lists the SJ CPE newsletter dated February 18, 2026.",English,text,,uncoded,2026-09-22,retrieved,"Official newsletter archive","Routine organizational communication retained."
TC026-WEB-010,TC026,Volunteers of America Minnesota and Wisconsin,2026-03-09,website,https://www.voamnwi.org/voa-newsletter-archive,newsletter,"Celebrating 130 Years of Compassion in Action","Official newsletter archive lists the organization-wide anniversary communication dated March 9, 2026.",English,text,,uncoded,2026-09-22,retrieved,"Official newsletter archive","Routine organizational communication retained."
