candidate_name,discovery_source_primary,discovery_source_primary_name,discovery_source_primary_url,provisional_form,provisional_role,provisional_twin_cities_connection,seed_list_match,discovery_status,notes
ACLU of Minnesota,IMMIGRANT_RIGHTS_NETWORK,Minnesota Mutual Aid Directory / immigrant-rights resource lists,https://www.mnmad.org/community-resource-directory/,nonprofit,ADV,yes,no,newly_discovered,Statewide civil-liberties nonprofit repeatedly listed in immigrant-rights resource networks; immigration-specific relevance requires later screening
MN8 / Release MN8,IMMIGRANT_RIGHTS_NETWORK,Minnesota House immigration resources toolkit,https://www.house.mn.gov/Caucus/View/DFL/41084,community_based_org,ADV,yes,no,newly_discovered,Twin Cities-based organization focused on Southeast Asian communities impacted by detention and deportation; later verify current organizational form and official site
Ayada Leads,IMMIGRANT_RIGHTS_NETWORK,Stand With Minnesota directory,https://www.standwithminnesota.com/directory,nonprofit,ADV,yes,no,newly_discovered,Minneapolis nonprofit serving New Americans especially African Diaspora women; appeared in immigrant-defense coalition activity and has current advocacy communications
Black Immigrant Collective,IMMIGRANT_RIGHTS_NETWORK,MIRAC resources / community network references,https://www.miracmn.com/resources,community_based_org,ADV,yes,no,newly_discovered,Minnesota Black-led immigrant organization focused on Blackness and migration including detention/deportation defense policy mutual aid and legal support
CAIR-Minnesota,LEGAL_DIRECTORY,Immigrant legal and ICE resource referrals,https://cairmn.org/know-your-rights/ice/,nonprofit,LEG,yes,no,newly_discovered,Provides ICE know-your-rights resources legal support and immigrant-family assistance; organizational mission broader than immigration and should be screened accordingly
Inquilinxs Unidxs por Justicia / United Renters for Justice,IMMIGRANT_RIGHTS_NETWORK,Minneapolis mutual-aid / immigrant-response listings,https://www.inquilinxsunidxs.org/,nonprofit,ADV,yes,no,newly_discovered,Minneapolis tenant-organizing nonprofit led substantially by working-class BIPOC and immigrant renters; immigration relevance is important but not exclusive
Groundwork Legal,LEGAL_DIRECTORY,Minnesota Mutual Aid Directory,https://www.mnmad.org/community-resource-directory/,legal_aid_org,LEG,yes,no,newly_discovered,Minnesota legal nonprofit formed in 2025; extensive ICE-related litigation and public communication during Jan-Mar 2026 makes it a strong study-period candidate
Defend the 612,IMMIGRANT_RIGHTS_NETWORK,Minnesota Mutual Aid Directory,https://www.mnmad.org/community-resource-directory/,coalition_network,ADV,yes,no,newly_discovered,Neighborhood-level volunteer coordination/rapid-response hub; later determine whether it meets organizational-unit criteria
Monarca,IMMIGRANT_RIGHTS_NETWORK,Stand With Minnesota directory,https://www.standwithminnesota.com/directory,program,ADV,yes,yes,duplicate_candidate,Appears to function as an immigrant rapid-response initiative associated with Unidos MN rather than a separate organization; retain for deduplication audit
Immigrant Defense Network,IMMIGRANT_RIGHTS_NETWORK,Immigrant Defense Network official site,https://immigrantdefensenetwork.org/,coalition_network,ADV,statewide with strong Twin Cities activity,no,newly_discovered,Network of 90+ immigrant labor legal faith and community organizations established in 2025; may function as both discovery source and analyzable communicating organization
