item_id,org_id,organization,date,platform,url,content_type,title,source_summary,relevance_terms,retrieval_date,inclusion_status
CI0032,TC073,Center for Victims of Torture,2026-01-08,website,https://www.cvt.org/statements/cvt-denounces-the-ice-shooting-of-renee-nicole-good/,statement,"CVT Denounces the ICE Shooting of Renee Nicole Good","CVT links the fatal shooting to intensified militarized immigration enforcement and describes the resulting atmosphere as a climate of terror affecting immigrant communities and torture survivors.","ICE; shooting; terror; militarization; immigrant communities; trauma",2026-09-21,include
CI0033,TC073,Center for Victims of Torture,2026-01-20,website,https://www.cvt.org/statements/four-cvt-clients-in-asylum-processes-have-been-detained-by-ice-and-flown-out-of-state/,statement,"Four CVT Clients in Asylum Processes Have Been Detained by ICE and Flown Out of State","CVT reports four asylum-seeking torture survivors were detained and rapidly transferred out of Minnesota, emphasizing their legal status, prior trauma, search for safety, and the resemblance between current enforcement and coercive environments they fled.","ICE; asylum; detention; transfer; torture survivors; safety; trauma",2026-09-21,include
CI0034,TC073,Center for Victims of Torture,2026-01-26,website,https://www.cvt.org/statements/stopping-out-of-control-u-s-immigration-enforcement-requires-more-than-protesters/,statement,"Stopping Out of Control U.S. Immigration Enforcement Requires More than Protesters","CVT describes executions, abductions, mass detention, fear, and a broad human-rights crisis, calling for collective action by protesters, Congress, courts, and business leaders.","ICE; killing; detention; terror; human rights; collective action; accountability",2026-09-21,include
CI0035,TC073,Center for Victims of Torture,2026-01-28,website,https://www.cvt.org/articles/cvt-world-january-2026/,newsletter,"CVT World, January 2026","CVT summarizes the Minnesota enforcement surge, client detentions, fear-driven isolation, volunteer grocery delivery, staff response, and public statements against militarized enforcement.","ICE; clients; detention; fear; isolation; mutual aid; response",2026-09-21,include
CI0036,TC073,Center for Victims of Torture,2026-02-18,website,https://www.cvt.org/articles/torture-survivors-living-in-minnesota-face-ice/,article,"Torture Survivors Living in Minnesota Face ICE","CVT describes asylum-seeking torture survivors hiding at home, fearing detention, reliving trauma, and losing access to normal routines while attorneys advise extreme caution.","ICE; asylum; fear; hiding; trauma; safety; detention",2026-09-21,include
CI0037,TC073,Center for Victims of Torture,2026-02-25,website,https://www.cvt.org/articles/the-surge-is-not-over-ice-must-leave-minnesota/,article,"The Surge is Not Over: ICE Must Leave Minnesota","CVT argues the enforcement surge continues to reproduce conditions familiar to torture survivors and calls for an end to militarized immigration enforcement in Minnesota.","ICE; fear; torture; militarization; safety; withdrawal",2026-09-21,include
CI0038,TC073,Center for Victims of Torture,2026-03-12,website,https://www.cvt.org/articles/the-community-shows-up-to-help-cvt-clients-during-ice-surge/,article,"The Community Shows up to Help CVT Clients During ICE Surge","CVT recounts clients staying home for fear of detention, disrupted therapy and daily life, and community volunteers providing groceries and practical support during the surge.","ICE; fear; service disruption; mutual aid; care; community support",2026-09-21,include
CI0039,TC078,Jewish Community Action,2026-01-21,website,https://www.jewishcommunityaction.org/events,event_mobilization,"ICE Out: MN Community Briefing","JCA promotes recurring briefings on what communities are doing, what is working, and how people can join collective action against immigration enforcement.","ICE; briefing; collective action; community organizing",2026-09-21,include
CI0040,TC078,Jewish Community Action,2026-01-23,website,https://www.jewishcommunityaction.org/events,event_mobilization,"ICE Out of MN: Day of Truth and Freedom","JCA promotes a statewide pause in economic activity, framing continued ICE presence as abnormal and calling for immediate withdrawal from Minnesota.","ICE; protest; statewide action; withdrawal; mobilization",2026-09-21,include
CI0041,TC078,Jewish Community Action,2026-01-25,website,https://www.jewishcommunityaction.org/events/nonviolent-direct-action-training-1-hm4hj,event_mobilization,"Nonviolent Direct Action Training","JCA invites Minnesotans to build courage, care, community, safety, joy, and effective resistance while ICE targets immigrant neighbors.","ICE; courage; care; community; safety; joyful resistance; training",2026-09-21,include
CI0042,TC078,Jewish Community Action,2026-02-08,website,https://www.jewishcommunityaction.org/events,event_mobilization,"ICE Out: MN Community Briefing","JCA continues recurring briefings focused on collective strategy, what is working, and how people can join the ICE Out effort.","ICE; briefing; strategy; collective action",2026-09-21,include
CI0043,TC078,Jewish Community Action,2026-02-11,website,https://www.jewishcommunityaction.org/events/ice-out-target,event_mobilization,"ICE OUT: Target Day of Action","JCA organizes sit-ins at Target stores and urges the company to oppose ICE killings and harassment in Minnesota.","ICE; Target; sit-in; killings; harassment; protest; mobilization",2026-09-21,include
CI0044,TC078,Jewish Community Action,2026-02-15,website,https://www.jewishcommunityaction.org/events,event_mobilization,"North Metro Nonviolent Direct Action Training","JCA repeats courage, care, community, and safety framing while preparing participants for nonviolent action against enforcement targeting immigrants and BIPOC communities.","ICE; courage; care; community; safety; direct action",2026-09-21,include
CI0045,TC078,Jewish Community Action,2026-02-22,website,https://www.jewishcommunityaction.org/events,event_mobilization,"Saint Paul Nonviolent Direct Action Training","JCA uses shared-values language centered on courage, care, community, and collective safety while mobilizing against ICE targeting.","ICE; courage; care; community; safety; direct action",2026-09-21,include
CI0046,TC078,Jewish Community Action,2026-03-01,website,https://www.jewishcommunityaction.org/events,event_mobilization,"South Metro Nonviolent Direct Action Training","JCA continues values-based mobilization against ICE targeting of immigrant and BIPOC neighbors using courage, care, community, and collective-safety language.","ICE; courage; care; community; safety; organizing",2026-09-21,include
CI0047,TC057,Immigrant Law Center of Minnesota,2026-01-08,website,https://www.ilcm.org/news,statement,"ICE Terrorizes Communities Across Minnesota, Murders Minneapolis Woman","ILCM condemns deadly enforcement violence and describes fear, terror, surveillance, harassment, racial targeting, and community harm across Minnesota.","ICE; terror; killing; fear; harassment; racial targeting; community harm",2026-09-21,include
CI0048,TC057,Immigrant Law Center of Minnesota,2026-01-22,website,https://www.ilcm.org/latest-news/ilcm-stands-in-solidarity-with-ice-out-of-minnesota/,statement,"ILCM Stands in Solidarity with ICE Out of Minnesota","ILCM supports the January 23 day of collective action while remaining open for clients and condemns ICE surveillance, profiling, harassment, threats, and killings.","ICE; solidarity; profiling; harassment; killing; collective action",2026-09-21,include
CI0049,TC057,Immigrant Law Center of Minnesota,2026-01-26,website,https://www.ilcm.org/latest-news/ice-murders-second-civilian-in-broad-daylight-in-continued-violent-occupation-of-minnesota/,statement,"ICE Murders Second Civilian in Broad Daylight in Continued Violent Occupation of Minnesota","ILCM frames the fatal shooting within a broader campaign of terror, surveillance, detention, deportation, racial profiling, and threats to residents and bystanders.","ICE; terror; killing; detention; deportation; racial profiling; threat",2026-09-21,include
