org_id,organization,verification_date,official_or_primary_source,current_status,twin_cities_presence,organizational_form,immigrant_refugee_relevance,role_review,website_review,registry_action,notes
TC001,Caring Friends Network,2026-09-18,,unverified,pending,pending,pending,pending,http://caringfriendsnetwork.org/,hold,Search did not surface sufficiently reliable current evidence in first pass; retain in registry pending deeper verification
TC002,Cedar Riverside Adult Education Collaborative,2026-09-18,https://www.cedarriversideabe.org/about-us,verified,Minneapolis,collaboration/education partnership,strong,SER/EDU confirmed,https://www.cedarriversideabe.org/,annotate,CRAEC explicitly describes itself as a collaboration among Riverside Plaza Tenants Association Brian Coyle Community Center and Minneapolis Public Schools Adult Basic Education; serves adult immigrants/refugees in Cedar-Riverside
TC003,Centro Tyrone Guzman,2026-09-18,https://www.centromn.org/about/,verified,Minneapolis,nonprofit community organization,strong,CBO/SER confirmed,https://www.centromn.org/,retain eligible,Official site identifies Centro as Minneapolis-based multi-service Latine organization; current site also highlights families affected by immigration enforcement
TC004,East African Integration Center,2026-09-18,https://www.eafricic.org/,verified,Minneapolis,501(c)(3) nonprofit,strong,CBO/SER confirmed,https://www.eafricic.org/,retain eligible,Official site identifies 501(c)(3) nonprofit and Minneapolis office at Nicollet Ave; immigrant/community mission evident
TC005,International Education Center,2026-09-18,https://iecminnesota.org/,verified,Minneapolis,adult basic education program,strong,SER/EDU confirmed,https://iecminnesota.org/,retain with form note,Official site says downtown Minneapolis and mission serves first-generation immigrants refugees and families; may be a program rather than conventional independent nonprofit so legal/organizational form should be checked
TC006,Ka Joog,2026-09-18,,partially_verified,Minneapolis,nonprofit/community organization,strong,CBO/SER likely,https://www.kajoog.org/,retain pending source completion,Known Twin Cities Somali/East African youth and family organization; first web pass did not return a strong current official snippet so deeper verification remains
TC007,Keystone Community Services,2026-09-18,https://keystoneservices.org/,verified,St. Paul,nonprofit social-service organization,moderate,SER confirmed,https://keystoneservices.org/,retain probably eligible,Minnesota Help Me Connect lists Keystone St. Paul services; immigrant/refugee population relevance appears broader/incidental and should be evaluated at program/content level
TC008,Literacy Minnesota,2026-09-18,https://www.literacymn.org/classesforadults,verified,Minneapolis and St. Paul,nonprofit education organization,strong,SER/EDU confirmed,https://www.literacymn.org/,retain eligible,Official site operates learning centers in Minneapolis and St. Paul; programs and volunteer roles explicitly serve adult immigrants/refugees and citizenship learners
TC009,Minnesota Somali Community Center,2026-09-18,https://mn-scc.org/,verified,Minneapolis,501(c)(3) nonprofit,strong,CBO/SER with advocacy,https://mn-scc.org/,correct website and retain eligible,Official site states Minnesota-based 501(c)(3); Minneapolis office at 2400 Park Ave; provides housing immigration justice-system help workforce services and advocacy
TC010,Minnesota Africans United,2026-09-18,https://www.mnafricansunited.org/about,verified,Brooklyn Park,statewide coalition/501(c)(3) nonprofit,strong,CBO/ADV/DEV hybrid,https://www.mnafricansunited.org/,upgrade eligible and add base,Official site identifies coalition of African immigrants in Minnesota and 501(c)(3); address in Brooklyn Park; mission centers access and opportunity for African communities
