org_id,organization,twin_cities_base,primary_role,secondary_role,advocacy_service_orientation,faith_affiliation,primary_community_scope,registry_status,website,source_basis,status_notes
TC001,Caring Friends Network,,SER,EDU,5,none/secular,immigrant/refugee communities,probably_eligible,http://caringfriendsnetwork.org/,Wilder 2024 landscape scan,Education-focused immigrant/refugee service organization
TC002,Cedar Riverside Adult Education Collaborative,Minneapolis,SER,EDU,5,none/secular,adult immigrants/refugees,probably_eligible,https://adulteducation.riversideplaza.net/,Wilder 2024 landscape scan,Adult education collaborative serving immigrant/refugee communities
TC003,Centro Tyrone Guzman,Minneapolis,CBO,SER,4,none/secular,Latine community,eligible,https://www.centromn.org/,Wilder 2024 landscape scan,Community-based Latine service organization
TC004,East African Integration Center,,CBO,SER,5,none/secular,East African immigrants/refugees,probably_eligible,https://www.eafricic.org/,Wilder 2024 landscape scan,Youth and family services
TC005,International Education Center,,SER,EDU,5,none/secular,adult immigrants/refugees,probably_eligible,https://iecminnesota.org/index.html,Wilder 2024 landscape scan,Adult immigrant/refugee education
TC006,Ka Joog,Minneapolis,CBO,SER,4,none/secular,Somali/East African youth and families,eligible,https://www.kajoog.org/,Wilder 2024 landscape scan,Youth and community development
TC007,Keystone Community Services,St. Paul,SER,,5,none/secular,broad population including immigrants,probably_eligible,https://keystoneservices.org/,Wilder 2024 landscape scan,Immigrant relevance should be confirmed at program level
TC008,Literacy Minnesota,St. Paul,SER,EDU,5,none/secular,adult learners including immigrants/refugees,eligible,https://www.literacymn.org/,Wilder 2024 landscape scan,Adult literacy and English learning
TC009,Minnesota Somali Community Center,,CBO,SER,4,none/secular,Somali community,eligible,https://mnsomalicommunitycenter.org/,Wilder 2024 landscape scan,Somali community services and advocacy
TC010,Minnesota Africans United,,CBO,ADV,3,none/secular,African immigrant communities,probably_eligible,https://www.mnafricansunited.org,Wilder 2024 landscape scan,Community development and representation
TC011,MORE,St. Paul,SER,EDU,5,none/secular,immigrants/refugees,eligible,https://www.more-empowerment.org,Wilder 2024 landscape scan,English and employment support
TC012,MTA Center - Mothers Tutoring Academy,,SER,EDU,5,none/secular,immigrant/refugee youth and families,probably_eligible,https://mtacenter.org/,Wilder 2024 landscape scan,Education/youth services
TC013,Sierra Leone Community in Minnesota,,CBO,SER,4,none/secular,Sierra Leonean community,probably_eligible,https://slcmn.org/about-us/,Wilder 2024 landscape scan,Ethnocultural community organization
TC014,Somali American Parent Association (SAPA),,CBO,ADV,3,none/secular,Somali families,probably_eligible,https://www.facebook.com/mnsapa/,Wilder 2024 landscape scan,Parent engagement and advocacy
TC015,Aeon,Minneapolis,SER,DEV,5,none/secular,broad population including immigrants,probably_eligible,https://www.aeon.org/homepage/everyone-deserves-a-home/,Wilder 2024 landscape scan,Housing nonprofit; immigrant relevance may be incidental
TC016,Bridging,,SER,,5,none/secular,broad population including immigrants,probably_eligible,https://bridging.org/,Wilder 2024 landscape scan,Furnishings/basic needs; immigrant relevance should be confirmed
TC017,Casa Guadalupana,,FAI,SER,4,Christian,Latine/immigrant communities,eligible,https://www.casaguadalupana.org,Wilder 2024 landscape scan,Faith-rooted immigrant housing/support
TC018,East African Housing Services,,CBO,SER,5,none/secular,East African immigrant/refugee communities,eligible,https://eastafricanhousingservices.com/,Wilder 2024 landscape scan,Housing services
TC019,Esperanza United,St. Paul,CBO,SER,4,none/secular,Latine survivors including immigrants,eligible,https://esperanzaunited.org/en/,Wilder 2024 landscape scan,Domestic violence services with strong immigrant relevance
TC020,Greater Metropolitan Housing Corporation,Minneapolis,DEV,SER,5,none/secular,broad population including immigrants,probably_eligible,http://www.gmhchousing.org/,Wilder 2024 landscape scan,Housing/homeownership nonprofit
TC021,IAFR Jonathan House,,FAI,SER,5,Christian,asylum seekers/refugees,eligible,https://jonathanhouse.org/,Wilder 2024 landscape scan,Supportive housing for asylum seekers and refugees
TC022,Lutheran Social Service of Minnesota - Refugee Services,St. Paul,RES,SER,5,Christian,refugees/newcomers,eligible,https://www.lssmn.org/services/refugees,Wilder 2024 + MN DHS Resettlement Network,Major refugee resettlement provider
