org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
D3-01,Community Services Agency of Minnesota (COMSA-MN),https://comsamn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
D3-02,Southeast Asian Diaspora Project (SEAD),,secondary_partner_verified_social_presence,"Instagram; Facebook","Partner cultural institution identifies Instagram @theseadproject and Facebook @TheSEADProject",,"SEAD is current and active as a charity, but first-party social linkage should be recovered before upgrading these accounts to first-party verified.",2026-09-22
D3-03,Bhutanese Community Organization of Minnesota,https://www.bhutanesemn.org/,official_directory_social_link_verified,"Facebook","Current Minnesota state resource directory lists https://www.facebook.com/bcommn as a BCOM website/social destination",,"Strong official-directory confirmation; resolve whether the Facebook page is also linked from the current first-party site and enumerate study-window posts separately.",2026-09-22
D3-04,Asian Women United of Minnesota,https://www.awum.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website active; no social URLs recovered in current retrieval. Continue first-party footer/source inspection and canonical platform verification.",2026-09-22
D3-05,India Association of Minnesota,https://iamn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
D3-06,Fil-Minnesotan Association,,current_org_status_verified_social_unresolved,none_exposed,"Organization remains represented in Philippine Center of Minnesota governance network",,"Independent current website/social account continuity remains unresolved. Do not infer inactivity solely from limited indexing.",2026-09-22
D3-07,Cultural Society of Filipino Americans,https://www.csfamn.org/,first_party_social_link_verified,"Facebook","Official CSFA Philippine Day site explicitly says follow our page facebook.com/csfamn",,"Strong first-party Facebook verification. Secondary community resources also identify CSFA Facebook. Additional platforms require current first-party verification.",2026-09-22
D3-08,Chinese American Association of Minnesota,https://www.caam.org/,website_identified_social_unresolved,none_exposed,"Current organizational website identified by Minnesota Asian Pacific American Bar Association directory",,"Need verify present organizational activity and social-account destinations from first-party site/footer.",2026-09-22
D3-09,The Urban Village,https://www.theurbanvillage.org/ourvillage,checked_no_machine_readable_social_links,none_exposed,,,"Official site active; no social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification.",2026-09-22
D3-10,Korean Association of Minnesota,,website_unresolved,not_assessable,,,"Current independent website and social accounts remain to verify. Retain as provisional until organizational/public-channel continuity is established.",2026-09-22
D3-11,Association of Nepalis in Minnesota,https://anmn.org/,first_party_social_links_verified,"Facebook; Instagram","Official ANMN sponsorship page states that the organization has a website, Facebook, and Instagram channels with 3,000+ subscribers",,"Strong first-party confirmation of Facebook and Instagram. The current website also contains study-period dated material, including Jan. 2026 immigration-related programming, useful for later cross-platform matching.",2026-09-22
D3-12,Tibetan American Foundation of Minnesota,https://tafm.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
