org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC051,Somali Community Resettlement Services,https://somalcrs.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website and contact pages retrieved; no social URLs exposed in current text extraction. Continue source/footer inspection and canonical platform verification; absence is not evidence of no account.",2026-09-22
TC052,Somali Success,https://www.somalisuccess.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website and contact pages retrieved; no social URLs exposed in current text extraction. Continue footer/source inspection and secondary verification.",2026-09-22
TC053,YMCA of the North - Immigrant and Refugee Support,https://www.ymcanorth.org/impact/immigrant_refugee_support,organization_level_social_channels_confirmed,"Facebook; Instagram; YouTube at organization/program units; X/Twitter, LinkedIn, Instagram, Facebook confirmed in organization communications","YMCA of the North materials explicitly identify Facebook and Instagram on current program/camp pages and multiple official pages list additional social channels. Exact immigrant/refugee-program-specific account URLs are not established in this pass.",,"Treat as organization-level social verification; individual posts must be attributed to the relevant YMCA account/program before inclusion in the immigrant/refugee communication census.",2026-09-22
TC054,Alight,https://wearealight.org/,first_party_or_canonical_social_presence_verified,"Facebook; Instagram; X/Twitter; LinkedIn","Previously verified organizational channels: Facebook https://www.facebook.com/WeAreAlight/ ; Instagram https://www.instagram.com/We.Are.Alight/ ; X/Twitter https://twitter.com/we_are_alight ; LinkedIn https://www.linkedin.com/company/wearealight/",,"Historical study-window posts remain incompletely enumerated despite verified account ownership.",2026-09-22
TC055,CAPI USA,https://www.capiusa.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current site-index pass. Continue source/footer inspection and canonical platform verification; do not infer no social presence.",2026-09-22
TC056,Karen Organization of Minnesota,https://mnkaren.org/,first_party_social_links_verified,"Facebook; Instagram","Official KOM news pages explicitly instruct readers to follow KOM on Facebook and Instagram; exact canonical account URLs still require resolution in this pass",,"Strong first-party confirmation of active Facebook and Instagram communication. Historical Nov. 2025-Mar. 2026 enumeration remains separate.",2026-09-22
TC057,Immigrant Law Center of Minnesota,https://www.ilcm.org/,first_party_social_links_verified,"Facebook; Instagram; LinkedIn; X/Twitter also verified through official link hub","Current ILCM content directs readers to follow the organization on Facebook, Instagram, and LinkedIn. Existing official link hub separately verifies X/Twitter and YouTube presence.",,"Strong first-party confirmation. Keep historical archive completeness and canonical individual-post verification separate.",2026-09-22
TC058,Mid-Minnesota Legal Aid,https://mylegalaid.org/,first_party_social_links_verified,"Facebook; Threads; Instagram; LinkedIn; YouTube","Official Mid-Minnesota Legal Aid brochure displays social-media icons for Facebook, Threads, Instagram, LinkedIn, and YouTube; exact canonical account URLs require resolution in this pass",,"First-party organizational material confirms multi-platform presence. Historical study-window post enumeration remains separate.",2026-09-22
TC059,Minnesota African Women Coalition,,website_unresolved,not_assessable,,,"No verified official website was present in the master registry. Identify first-party website or official link hub before website-first account verification; secondary platform discovery may proceed in parallel.",2026-09-22
TC060,SEWA-AIFW,https://sewa-aifw.org/,first_party_social_links_verified,"Facebook; Instagram; X/Twitter; LinkedIn; YouTube","Official SEWA-AIFW material displays Facebook, Instagram, Twitter/X, LinkedIn, and YouTube icons and gives the organization handle @sewaaifwmn",,"Strong first-party confirmation of five platforms. Exact canonical URLs and historical study-window posts remain to enumerate.",2026-09-22
