item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC073-WEB-001,TC073,Center for Victims of Torture,2025-11-12,website,https://www.cvt.org/articles/a-legacy-of-internships-that-support-trauma-healing/,article,"A Legacy of Internships That Support Trauma Healing","CVT reflects on a decade of trauma-healing internships with Ethiopian universities and the role of supervision, professional development, and cross-community compassion.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT Expert Voices archive; published Nov. 12, 2025.","Full-census website item; not enforcement-specific."
TC073-WEB-002,TC073,Center for Victims of Torture,2025-12-02,website,https://www.cvt.org/statements/deadly-attacks-do-not-justify-collective-punishment-of-asylum-seekers/,statement,"Deadly Attacks Do Not Justify Collective Punishment of Asylum Seekers","CVT condemns collective punishment of Afghans and other immigrants following attacks on National Guard members and argues that asylum seekers and refugees should not face broad punitive restrictions.",English,text,,uncoded,2026-09-21,retrieved,"Official CVT statement; published Dec. 2, 2025.","Full-census website item."
TC073-WEB-003,TC073,Center for Victims of Torture,2025-12-08,website,https://www.cvt.org/articles/cvt-world-december-2025/,newsletter,"CVT World, December 2025","Monthly CVT World issue compiling recent stories, statements, and organizational activities, including immigration-policy response and global program updates.",English,text_image,,uncoded,2026-09-21,retrieved,"Official Notes from the Ground archive; published Dec. 8, 2025.","Full-census website item."
TC073-WEB-004,TC073,Center for Victims of Torture,2025-12-10,website,https://www.cvt.org/articles/mental-health-is-a-human-right-cvts-afghan-projects-bring-social-connection-and-healing/,article,"Mental Health is a Human Right: CVT’s Afghan Projects Bring Social Connection and Healing","CVT discusses Afghan-focused programs in Minnesota and Georgia, emphasizing social connection, trust, coping, resource access, and mental-health support for forced migrants.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT Expert Voices archive; published Dec. 10, 2025.","Full-census website item; service/healing communication."
TC073-WEB-005,TC073,Center for Victims of Torture,2026-01-08,website,https://www.cvt.org/statements/cvt-denounces-the-ice-shooting-of-renee-nicole-good/,statement,"CVT Denounces the ICE Shooting of Renee Nicole Good","CVT responds to Renee Nicole Good's fatal shooting in Minneapolis and connects intensified immigration enforcement with fear, militarization, and trauma among immigrant communities and torture survivors.",English,text,,uncoded,2026-09-21,retrieved,"Official CVT statement; published Jan. 8, 2026.","Full-census website item."
TC073-WEB-006,TC073,Center for Victims of Torture,2026-01-15,website,https://www.cvt.org/statements/new-immigration-restrictions-further-an-agenda-of-cruelty/,statement,"New Immigration Restrictions Further an Agenda of Cruelty","CVT criticizes new immigration-visa restrictions and argues they create panic, uncertainty, and harm for immigrants, including people fleeing torture and persecution.",English,text,,uncoded,2026-09-21,retrieved,"Official CVT statement; published Jan. 15, 2026.","Full-census website item."
TC073-WEB-007,TC073,Center for Victims of Torture,2026-01-20,website,https://www.cvt.org/statements/four-cvt-clients-in-asylum-processes-have-been-detained-by-ice-and-flown-out-of-state/,statement,"Four CVT Clients in Asylum Processes Have Been Detained by ICE and Flown Out of State","CVT reports that four Minnesota-based torture-survivor clients in lawful asylum processes were detained by ICE and flown out of state, describing panic, trauma, and parallels with environments clients fled.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT statement; published Jan. 20, 2026.","Full-census website item."
TC073-WEB-008,TC073,Center for Victims of Torture,2026-01-28,website,https://www.cvt.org/articles/cvt-world-january-2026/,newsletter,"CVT World, January 2026","Monthly CVT World issue compiling recent organizational news and activities, including leadership transition and updates from CVT programs.",English,text_image,,uncoded,2026-09-21,retrieved,"Official Notes from the Ground archive; published Jan. 28, 2026.","Full-census website item."
TC073-WEB-009,TC073,Center for Victims of Torture,2026-02-18,website,https://www.cvt.org/articles/torture-survivors-living-in-minnesota-face-ice/,article,"Torture Survivors Living in Minnesota Face ICE","CVT describes how Minnesota-based torture survivors experienced fear, retraumatization, uncertainty, and disruption during intensified immigration enforcement.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT Expert Voices archive; published Feb. 18, 2026.","Full-census website item."
TC073-WEB-010,TC073,Center for Victims of Torture,2026-02-23,website,https://www.cvt.org/articles/cvt-world-february-2026/,newsletter,"CVT World, February 2026","Monthly CVT World issue highlights impacts of Operation Metro Surge on Minnesota clients, releases of detained clients, and broader organizational activities.",English,text_image,,uncoded,2026-09-21,retrieved,"Official Notes from the Ground archive; published Feb. 23, 2026.","Full-census website item."
TC073-WEB-011,TC073,Center for Victims of Torture,2026-02-25,website,https://www.cvt.org/articles/the-surge-is-not-over-ice-must-leave-minnesota/,article,"The Surge is Not Over: ICE Must Leave Minnesota","CVT connects Minnesota immigration enforcement with fear, trauma, surveillance, and authoritarian environments familiar to torture survivors while calling for an end to the surge.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT Expert Voices archive; published Feb. 25, 2026.","Full-census website item."
TC073-WEB-012,TC073,Center for Victims of Torture,2026-03-02,website,https://www.cvt.org/articles/what-it-means-to-the-world-when-the-u-s-steps-away-from-human-rights/,article,"What it Means to the World When the U.S. Steps Away from Human Rights","CVT analyzes changes in U.S. immigration and human-rights policy, linking domestic enforcement, withdrawal from international institutions, foreign-aid cuts, and consequences for global accountability.",English,text_image,,uncoded,2026-09-21,retrieved,"Official CVT Expert Voices archive; published Mar. 2, 2026.","Full-census website item."
TC073-WEB-013,TC073,Center for Victims of Torture,2026-03-12,website,https://www.cvt.org/articles/the-community-shows-up-to-help-cvt-clients-during-ice-surge/,article,"The Community Shows up to Help CVT Clients During ICE Surge","CVT describes escalating client fear and material needs during Operation Metro Surge and how staff, volunteers, and community members organized food delivery, crisis support, and mutual aid.",English,text_image,,uncoded,2026-09-21,retrieved,"Official Notes from the Ground archive; published Mar. 12, 2026.","Full-census website item."
