item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC075-WEB-001,TC075,Unidos MN,2026-01-06,website,https://unidos-mn.org/media/2026/1/11/when-ice-enters-a-hospital-why-clear-protocols-matter-for-patient-safety,press_statement,"When ICE Enters a Hospital: Why Clear Protocols Matter for Patient Safety","Unidos MN describes ICE presence at HCMC, resulting fear and disrupted care, and calls for clear hospital protocols protecting patient rights, privacy, and safety.",English,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN Media & News archive","Previously represented in enforcement-focused batch; retained here under full-census rule."
TC075-WEB-002,TC075,Unidos MN,2026-01-07,website,https://unidos-mn.org/media/2026/1/11/owpj3175an9at1dp8qvpneejdqv9wt,press_statement,"Statement from Unidos MN Regarding the Murder of Renee Good","Unidos MN responds to the killing of Renee Good with language of grief, loss, courage, dignity, family harm, and community protection.",English,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN Media & News archive","Previously represented in enforcement-focused batch; retained here under full-census rule."
TC075-WEB-003,TC075,Unidos MN,2026-03-05,website,https://unidos-mn.org/media/minnesotans-fired-noem,press_statement,"Statement from Unidos MN on the Firing of DHS Secretary Kristi Noem","Unidos MN links federal enforcement policies to family separation, detention, economic harm, fear, trauma, and constitutional-rights concerns, while framing the personnel change as a step toward accountability.",English,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN Media & News archive","Previously represented in enforcement-focused batch; retained here under full-census rule."
TC075-EVT-001,TC075,Unidos MN,2026-01-16,website,https://unidos-mn.org/events/safety-and-justice-2026,event_notice,"Safety for Immigrant Communities and Justice for Essential Workers","Unidos MN invites organizing across workplaces, schools, faith communities, and neighborhoods around immigrant safety, worker justice, freedom, and multiracial democracy.",English,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN events archive","Full-census event item."
TC075-EVT-002,TC075,Unidos MN,2026-02-26,website,https://unidos-mn.org/events/day-at-the-capitol-2026,event_notice,"Unidos Day at the Capitol 2026","Unidos MN calls members to the State Capitol to defend prior policy gains and advance healthcare, climate, labor, and family-policy priorities through collective civic participation.",English;Spanish,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN events archive","Full-census event item; broader than immigration enforcement."
TC075-EVT-003,TC075,Unidos MN,2026-03-11,website,https://unidos-mn.org/events/2026/3/11/monarca-delegate-training,event_notice,"Monarca Delegate Training","Unidos MN offers delegate training on caucus and convention participation, community organizing, leadership, and shaping elections and policy priorities.",English,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN events archive","Full-census event item."
TC075-EVT-004,TC075,Unidos MN,2026-03-14,website,https://unidos-mn.org/events/2026/3/14/consulado-de-guatemala,event_notice,"Consulado de Guatemala Llega a Worthington, MN!","Unidos MN hosts a mobile Guatemalan consulate visit providing passport, birth-certificate, dual-nationality, marriage-registration, and other civil-registry services.",English;Spanish,text,,uncoded,2026-09-21,retrieved,"Official Unidos MN events archive","Full-census event item; service-oriented communication."
TC075-EVT-005,TC075,Unidos MN,2025-12-06,website,https://unidos-mn.org/events/ga2025,event_notice,"Unidos MN General Assembly ‘25-’26","Unidos MN gathers members and community leaders statewide to set shared priorities, build collective power, and shape the organization’s 2025–2026 agenda across immigrant justice, schools, energy, and other issues.",English;Spanish,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Back-linked from Jan. 7 event; establishes December study-window event activity."
TC075-EVT-006,TC075,Unidos MN,2026-01-07,website,https://unidos-mn.org/events/air-quality-dec-25,event_notice,"Indoor Air Quality Meeting","Unidos MN invites participants to discuss cleaner, carbon-free homes and collective steps toward safer indoor air and a healthier future.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-007,TC075,Unidos MN,2026-01-12,website,https://unidos-mn.org/events/stp-unidos-jan2026,event_notice,"Saint Paul Unidos January Meeting","Unidos MN convenes its first Saint Paul meeting of 2026 around clean heat, thermal-energy networks, city action, and local organizing.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-008,TC075,Unidos MN,2026-01-13,website,https://unidos-mn.org/events/2026/1/13/sustainable-home-program-at-the-library,event_notice,"Sustainable Home Program at the Library!","Unidos MN tables at North Regional Library with information on clean-energy programs, lower energy bills, and clean-energy job opportunities.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-009,TC075,Unidos MN,2026-01-21,website,https://unidos-mn.org/events/energyshutoffs-jan26,event_notice,"Protecting Minnesota from Energy Shutoffs: What We Can Do","Unidos MN hosts a community conversation about threatened LIHEAP cuts, utility responsibility, and actions to protect low-income Minnesotans from losing power.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-010,TC075,Unidos MN,2026-01-26,website,https://unidos-mn.org/events/mpls-climate-launch-2026,event_notice,"Minneapolis Climate Equity - 2026 Launch","Unidos MN launches 2026 Minneapolis climate-equity organizing around funding, thermal-energy networks, and equitable clean-energy transition.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-011,TC075,Unidos MN,2026-01-27,website,https://unidos-mn.org/events/2026/1/13/sustainable-home-program-at-the-library-5adfh,event_notice,"Sustainable Home Program at the Library!","Unidos MN tables at North Regional Library to share clean-energy resources, lower-bill information, and clean-energy employment opportunities.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-012,TC075,Unidos MN,2026-02-10,website,https://unidos-mn.org/events/2026/2/10/indoor-air-quality-meeting,event_notice,"Indoor Air Quality Meeting","Unidos MN invites participants to discuss cleaner, carbon-free cities and collective steps to improve indoor air and community health.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation."
TC075-EVT-013,TC075,Unidos MN,2026-02-11,website,https://unidos-mn.org/events/2026/1/13/sustainable-home-program-at-the-library-5adfh-x27hj,event_notice,"Sustainable Home Program at the Library!","Unidos MN tables at North Regional Library to share clean-energy resources, lower-bill information, and clean-energy employment opportunities.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Located via previous/next event navigation; next event is a Feb. 24 Sustainable Home Program item still requiring direct retrieval."
TC075-EVT-014,TC075,Unidos MN,2026-03-18,website,https://unidos-mn.org/events/2026/3/18/unidos-catholics-solidarity-through-prayer-and-action,event_notice,"Unidos Catholics: Solidarity Through Prayer and Action","Unidos MN invites participants to a Catholics gathering focused on engaging more parishioners and building stronger connected communities, framing welcome to strangers as a shared religious calling.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Directly retrieved from official event page; previous event is Mar. 14 and next event is Mar. 23."
TC075-EVT-015,TC075,Unidos MN,2026-03-23,website,https://unidos-mn.org/events/2026/3/23/minneapolis-climate-equity-monthly-community-meeting,event_notice,"Minneapolis Climate Equity - Monthly Community Meeting","Unidos MN invites participants to learn about its Minneapolis Climate Equity campaign and take part in making clean energy accessible to every home and advancing the clean-energy transition.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Directly retrieved from official event page; previous event is Mar. 18 and next event is Mar. 24."
TC075-EVT-016,TC075,Unidos MN,2026-03-24,website,https://unidos-mn.org/events/2026/1/13/sustainable-home-program-at-the-library-5adfh-x27hj-aj2ff-z647m-8xem7,event_notice,"Sustainable Home Program at the Library!","Unidos MN tables at North Regional Library with information about clean-energy programs, ways to lower energy bills, clean-energy job opportunities, and community resources.",English,text,,uncoded,2026-09-21,retrieved,"Sequential official events archive","Directly retrieved from official event page. Page exposes Mar. 10 as previous and no later March next-event link in current retrieval."
