item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC002-WEB-001,TC002,Cedar Riverside Adult Education Collaborative,2025-11-27,website,https://www.cedarriversideabe.org/calendar,announcement,"Thanksgiving closure","School calendar announces CRAEC closed for Thanksgiving on Nov. 27 and Nov. 28, 2025.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","One calendar announcement covering the two-day closure."
TC002-WEB-002,TC002,Cedar Riverside Adult Education Collaborative,2025-12-08,website,https://www.cedarriversideabe.org/calendar,announcement,"Week of CASAS Reading Post Test","School calendar announces the week of the CASAS Reading Post Test beginning Dec. 8, 2025.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine academic-program communication retained."
TC002-WEB-003,TC002,Cedar Riverside Adult Education Collaborative,2025-12-19,website,https://www.cedarriversideabe.org/calendar,announcement,"Last day of Fall session","School calendar identifies Dec. 19, 2025 as the last day of the fall session.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine academic-program communication retained."
TC002-WEB-004,TC002,Cedar Riverside Adult Education Collaborative,2025-12-19,website,https://www.cedarriversideabe.org/calendar,announcement,"Winter break begins","School calendar lists winter break as Dec. 19, 2025 through Jan. 4, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Discrete break-period announcement; start date used as item date."
TC002-WEB-005,TC002,Cedar Riverside Adult Education Collaborative,2026-01-05,website,https://www.cedarriversideabe.org/calendar,announcement,"First day of winter 2026 session","School calendar identifies Jan. 5, 2026 as the first day of the winter session.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine academic-program communication retained."
TC002-WEB-006,TC002,Cedar Riverside Adult Education Collaborative,2026-01-19,website,https://www.cedarriversideabe.org/calendar,announcement,"MLK Day closure","School calendar announces no classes and RC closed for Martin Luther King Jr. Day on Jan. 19, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine closure communication retained."
TC002-WEB-007,TC002,Cedar Riverside Adult Education Collaborative,2026-02-09,website,https://www.cedarriversideabe.org/calendar,announcement,"Week of CASAS Listening Post Test","School calendar announces the week of the CASAS Listening Post Test beginning Feb. 9, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine academic-program communication retained."
TC002-WEB-008,TC002,Cedar Riverside Adult Education Collaborative,2026-02-16,website,https://www.cedarriversideabe.org/calendar,announcement,"Presidents Day closure","School calendar announces no classes and RC closed for Presidents Day on Feb. 16, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Routine closure communication retained."
TC002-WEB-009,TC002,Cedar Riverside Adult Education Collaborative,2026-02-16,website,https://www.cedarriversideabe.org/calendar,announcement,"Week of CASAS Reading Post Test","School calendar separately announces the week of the CASAS Reading Post Test beginning Feb. 16, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Separate calendar entry on same date as Presidents Day closure."
TC002-WEB-010,TC002,Cedar Riverside Adult Education Collaborative,2026-03-19,website,https://www.cedarriversideabe.org/calendar,announcement,"Eid Al Fitr (Tentative)","School calendar lists Eid Al Fitr as tentative on March 19, 2026.",English,text,,uncoded,2026-09-21,retrieved,"Archived official 2025/26 school calendar","Retained exactly as displayed; malformed year ranges elsewhere were not corrected or converted into rows."
