candidate_id,organization_name,discovery_source_primary,discovery_source_primary_name,discovery_source_primary_url,provisional_twin_cities_presence,provisional_role,registry_status,duplicate_check_status,notes
MDH001,Ethiopian Community in Minnesota,STATE_GOV,MN Dept. of Health / Help Me Connect,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Ethiopian_Community_in_Minnesota/Cultural_Community_Organization/1,Twin Cities metro,CBO,discovered_unverified,new_candidate,"St. Paul-based cultural community organization; official site describes translation, advocacy, housing/job support, civic engagement"
MDH002,Organization of Liberians in Minnesota,STATE_GOV,MN Dept. of Health Health Equity / cultural organization references,https://www.health.state.mn.us/communities/equity/networks/grantees.html,Twin Cities metro,CBO,discovered_unverified,new_candidate,"Brooklyn Park/Minneapolis-area Liberian organization; official site identifies social services for immigrants and refugees"
MDH003,Lao Family Community of Minnesota,STATE_GOV,MN Dept. of Health refugee/community resource references,https://www.health.mn.gov/communities/rih/healthguideeng.pdf,St. Paul,CBO,discovered_unverified,new_candidate,"Distinct from Lao Assistance Center of Minnesota; longstanding mutual assistance association supporting Hmong and other immigrant/refugee populations"
MDH004,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),STATE_GOV,MN Dept. of Health / Help Me Connect,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Search/CaregivingandCommunitySupport/CulturalCommunityOrganizations?f=Specialization%3ASomali+Community,St. Paul,CBO,discovered_unverified,new_candidate,"Twin Cities cultural-community organization serving Somali/East African families"
MDH005,Vietnamese Social Services of Minnesota,STATE_GOV,MN Dept. of Health / Help Me Connect,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Search/FamilyWell-BeingandMentalHealth/ProgramsForSpecificPopulations/CulturalOrganizations,Twin Cities metro,CBO,discovered_unverified,new_candidate,"St. Paul-based cultural organization; Twin Cities service area"
MDH006,Restoration for All Inc.,STATE_GOV,MN Dept. of Health / Help Me Connect,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Search/FamilyWell-BeingandMentalHealth/ProgramsForSpecificPopulations/CulturalOrganizations,Twin Cities metro,SER,discovered_unverified,new_candidate,"Inver Grove Heights cultural/community organization; immigrant/refugee relevance requires verification"
MDH007,Somali Parent Academy,STATE_GOV,MN Dept. of Employment and Economic Development / MDH-adjacent community listings,https://somaliparentacademy.com/,Bloomington / Twin Cities,CBO,discovered_unverified,new_candidate,"Official site explicitly says it uplifts immigrant families from the Horn of Africa in Minnesota"
MDH008,Hmong Shaman & Herb Center,STATE_GOV,MN Dept. of Health Health Equity Network,https://www.health.state.mn.us/communities/practice/equityengage/networks/grantees.html,Twin Cities metro,CBO,discovered_unverified,new_candidate,"Ramsey County-based Hmong cultural/health organization; immigrant/refugee relevance plausible but needs verification"
MDH009,African Growers and Producers Alliance (AGAPA),STATE_GOV,MN Dept. of Health Health Equity Network,https://www.health.mn.gov/communities/equity/networks/grantees.html,Metro region,CBO,discovered_unverified,new_candidate,"MDH describes work with African immigrant farmers in the metro region"
MDH010,Legacy Family Center,STATE_GOV,MN Dept. of Health / Help Me Connect,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Search/CaregivingandCommunitySupport/CulturalCommunityOrganizations?start=20,Brooklyn Park / North Minneapolis / Brooklyn Center,SER,discovered_unverified,new_candidate,"Cultural community organization; immigrant/refugee relevance not yet established"
MDH011,Care Resource Connection,STATE_GOV,MN Dept. of Health Health Equity Network,https://www.health.mn.gov/communities/equity/networks/grantees.html,Metro region,SER,discovered_unverified,new_candidate,"MDH notes engagement with migrant and immigrant communities; organization is broader than immigrant-serving work"
MDH012,Power of People Leadership Institute,STATE_GOV,MN Dept. of Health Health Equity Network,https://www.health.mn.gov/communities/equity/networks/grantees.html,Minneapolis,SER,discovered_unverified,new_candidate,"MDH describes outreach including East African communities, but official mission is broader youth/adult leadership; likely lower-priority candidate"
