org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
D4-01,Ethiopian Community in Minnesota,https://ethiopiancommunitymn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification.",2026-09-22
D4-02,Organization of Liberians in Minnesota,https://www.olmbp.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
D4-03,Lao Family Community of Minnesota,https://www.laofamilycommunity.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
D4-04,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),https://www.sayfsm.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification. Organizational immigrant/refugee relevance remains provisional.",2026-09-22
D4-05,Vietnamese Social Services of Minnesota,https://www.vssmn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification.",2026-09-22
D4-06,Restoration for All Inc.,https://restoreall.org/,checked_no_machine_readable_social_links,none_exposed,"Founder/executive director LinkedIn exists; organization-level canonical account unresolved","Current official site and state directory verify Twin Cities immigrant/refugee programming. No organization social URLs were exposed in retrieved site text. Continue canonical platform verification.",2026-09-22
D4-07,Somali Parent Academy,https://somaliparentacademy.com/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is active; no social URLs recovered in current retrieval. Continue footer/source inspection and canonical platform verification.",2026-09-22
D4-08,Hmong Shaman & Herb Center,https://hmongshaman.com/home-landing/,first_party_social_presence_partial,"Official Follow Us section present; platform destinations unresolved","Current official site exposes a Follow Us section",,"First-party evidence confirms social-media presence, but platform names/URLs were not exposed in retrieved text. Resolve footer icons/targets before account-level verification.",2026-09-22
D4-09,African Growers and Producers Alliance (AGAPA),,website_unresolved_geography_provisional,not_assessable,,,"Minnesota Department of Health verifies AGAPA as a nonprofit grantee with Metro-region project activity but home location in Isanti County. Official website/social accounts remain unresolved. Retain provisionally pending geography and channel verification.",2026-09-22
D4-10,Legacy Family Center,https://www.legacyfamilycentermn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website is verified through Minnesota resource directories and serves Brooklyn Park/North Minneapolis/Brooklyn Center. No social URLs recovered in current retrieval; continue footer/source inspection and canonical verification.",2026-09-22
D4-11,Care Resource Connection,,geography_and_population_relevance_flag,none_exposed,"Canonical LinkedIn: https://www.linkedin.com/company/care-resource-connection","Canonical LinkedIn places primary location in Otsego, Minnesota. Current evidence does not establish immigrants/refugees as a substantial organizational public. Reconcile geography and population relevance before final inclusion in the 114-unit communication census.",2026-09-22
