org_id,organization_name,eligibility_status,official_website,website_active_study_period,study_period_content_retrievable,enforcement_related_content_found,enforcement_content_examples,emotion_signals_observed,platform_audit_status,notes
TC028,African Career Education and Resources (ACER),eligible,https://acerinc.org,yes,yes,yes,"2026-02-24 Minnesota House testimony documents rental-assistance requests linked to increased ICE activity and lost work hours; testimony urges action to prevent eviction and homelessness","fear; precarity; harm; urgency; community protection; housing insecurity; efficacy",strong_candidate,"Strong culturally specific advocacy/service hybrid. Enforcement effects are framed through economic precarity and housing instability rather than only protest language."
TC082,Coalition of Asian American Leaders (CAAL),eligible,https://caalmn.org,yes,yes,yes,"2026-03-04 Minnesota House testimony on economic and human impact of federal enforcement surge; CAAL reports around-the-clock legal triage and family support","horror; trauma; fear; family separation; harm; urgency; accountability; justice",strong_candidate,"Excellent Asian American network case. Public testimony describes severe community harm and fear during the surge."
D2-04,Black Immigrant Collective,eligible,https://actionnetwork.org/groups/black-immigrant-collective,likely_yes,partial,uncertain,,"collective liberation; resilience; solidarity; visibility; anti-detention orientation",needs_followup,"Official Action Network presence verified. Mission explicitly centers effects of immigration law enforcement on Black immigrants, but a dated Oct 2025-Mar 2026 communication archive was not located in this pass."
D2-02,MN8 / Release MN8,eligible,https://minnesota8.org,yes,yes,yes,"Current deportation-defense resources and fundraiser; organization reports sharply increased caseload since Jan. 2025 and provides safety-planning/detention guidance; public communication centers ongoing ICE detention/deportation crisis","fear; panic; grief; heartbreak; trauma; love; hope; solidarity; compassion; dignity; resilience; community care",strong_candidate,"Very strong emotion-rich case. Website frames movement building around love, restoration, healing, dignity and justice; detention stories contain intense first-person emotional narratives. Exact study-period item dates should be captured during item collection."
TC047,Oromo Community of Minnesota,eligible,https://oromocommunitymn.org,yes,yes,yes,"OCM Rapid Response Team page created in response to intensified federal policies and the recent Twin Cities campaign against immigrants/refugees; requests include legal help, food delivery for people afraid to leave home, transportation and resettlement assistance","fear; vulnerability; mutual aid; care; safety; urgency; solidarity; reassurance",strong_candidate,"Excellent culturally specific service/rapid-response case. Official Afaan Oromo/English page directly links fear of leaving home to concrete coping and mutual-aid services."
D4-01,Ethiopian Community in Minnesota,eligible,https://ethiopiancommunitymn.org,yes,partial,uncertain,,"belonging; unity; mutual support; voice; civic engagement",needs_followup,"Official St. Paul website and Facebook link verified; no indexed study-period enforcement-specific item found in this pass. Social archive should be checked directly later."
TC009,Minnesota Somali Community Center,eligible,https://mnsomalicommunitycenter.org,yes,partial,uncertain,,"community support; advocacy; care; crisis navigation",needs_followup,"Official Minneapolis website current and includes immigration and advocacy among services. No indexed Oct 2025-Mar 2026 enforcement communication located yet; likely requires Facebook/social archive review."
TC014,Somali American Parent Association (SAPA),eligible,http://www.mnsapa.org,uncertain,partial,uncertain,,"empowerment; support; belonging; advocacy",needs_followup,"Official domain and Facebook handle historically verified through Minnesota directories and LinkedIn. Current study-period web activity and enforcement communication remain unverified."
TC051,Somali Community Resettlement Services,eligible,https://somalcrs.org,yes,partial,uncertain,,"support; self-efficacy; protection; community care",needs_followup,"Official Minneapolis office and active site verified; services include documentation, legal issues, resettlement and refugee support. No indexed enforcement-specific item found in this pass."
TC052,Somali Success,eligible,https://www.somalisuccess.org,yes,partial,uncertain,,"empowerment; self-sufficiency; inclusion; support",needs_followup,"Official Minneapolis website active and explicitly serves East African immigrants through education, advocacy, employment and support. No indexed enforcement-specific study-period item located yet."
TC072,Confederation of Somali Community in Minnesota,eligible,https://csc-mn.org,yes,partial,uncertain,,"support; guidance; efficacy; reassurance",needs_followup,"Official site confirmed through Minnesota state resource directory; organization provides immigration paperwork guidance and translation. No indexed enforcement-specific study-period item located yet."
D4-07,Somali Parent Academy,eligible,https://somaliparentacademy.com,yes,partial,uncertain,,"hope; dignity; belonging; empowerment; resilience; confidence",needs_followup,"Official site active and strongly emotion-rich in general community-development language. No direct study-period enforcement-specific communication located yet, so general emotional branding should not be coded as enforcement communication."
