item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,retrieval_date,retrieval_status,collection_notes
CI0032,TC041,International Institute of Minnesota,2025-11-17,website,https://iimn.org/news/snap-food-resources-government-shutdown/,announcement,"SNAP and Food Resources during Federal Government Shutdown","Institute shares food-access resources for clients, students, volunteers and community members after the federal shutdown, emphasizing food insecurity and practical assistance.",English,2026-09-21,retrieved,"Within full-census window; not pre-filtered for enforcement relevance."
CI0033,TC041,International Institute of Minnesota,2025-11-18,website,https://iimn.org/news/bringing-a-taste-of-ukraine-to-minnesota/,client_story,"Bringing a taste of Ukraine to Minnesota","Client story about a Ukrainian newcomer building a new life and business pathway in Minnesota through Institute support.",English,2026-09-21,retrieved,"Within full-census window; general organizational communication."
CI0034,TC041,International Institute of Minnesota,2025-12-03,website,https://iimn.org/news/statement-on-presidents-attacks-on-somali-community/,statement,"Statement on the President’s Attacks on the Somali Community in Minnesota","Institute condemns rhetoric and policy targeting Somali, Burmese and Afghan communities and references a reported planned ICE operation and Somali TPS changes.",English,2026-09-21,retrieved,"Study-window statement."
CI0035,TC041,International Institute of Minnesota,2025-12-03,website,https://iimn.org/news/majority-of-somali-immigrants-in-minnesota-are-us-citizens/,media_coverage,"Majority of Somali immigrants in Minnesota are US citizens","Institute-hosted KSTP media item on immigration processing restrictions and increased Twin Cities enforcement activity affecting Somali communities.",English,2026-09-21,retrieved,"Institute news archive item linking to external media."
CI0036,TC041,International Institute of Minnesota,2026-01-13,website,https://iimn.org/news/new-homeland-security-operation-terrifying-refugee-families/,media_coverage,"Resettlement agency head says new Homeland Security operation ‘terrifying’ refugee families","Institute-hosted MPR coverage about the early impact of Operation PARRIS on refugee families and Institute clients.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0037,TC041,International Institute of Minnesota,2026-01-18,website,https://iimn.org/news/pioneer-press-5600-green-card-applicants-in-minnesota-targeted-through-operation-parris/,media_coverage,"5,600 Green Card applicants in Minnesota targeted through Operation PARRIS","Institute-hosted Pioneer Press coverage describing refugee and Green Card applicant targeting and family distress.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0038,TC041,International Institute of Minnesota,2026-01-21,website,https://iimn.org/news/star-tribune-minnesota-refugees-with-legal-status-being-detained-in-sweeping-operation/,media_coverage,"Minnesota refugees with legal status being detained in sweeping operation","Institute-hosted Star Tribune coverage of Minnesota refugee detention during Operation PARRIS.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0039,TC041,International Institute of Minnesota,2026-01-29,website,https://iimn.org/news/mpr-news-trapped-inside-a-minnesota-refugee-familys-life-on-hold-amid-ice-arrests/,media_coverage,"Trapped inside: A Minnesota refugee family’s life on hold amid ICE arrests","Institute-hosted MPR coverage of a refugee family staying inside and disrupting everyday life amid ICE arrests.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0040,TC041,International Institute of Minnesota,2026-02-09,website,https://iimn.org/news/page/5/,media_coverage,"Sahan Journal: Refugees’ futures remain uncertain as legal battle over Operation PARRIS proceeds","Institute news archive item links to reporting on a legally present immigrant detained under Operation PARRIS and ongoing litigation.",English,2026-09-21,retrieved,"Exact external article URL should be captured during archive reconciliation."
CI0041,TC041,International Institute of Minnesota,2026-02-10,website,https://iimn.org/news/page/5/,media_coverage,"MPR News: Refugees in Minnesota detained and flown to Texas are released with no way home","Institute archive highlights reporting on refugees detained, transferred to Texas and released without return support.",English,2026-09-21,retrieved,"Exact external article URL should be captured during archive reconciliation."
CI0042,TC041,International Institute of Minnesota,2026-02-18,website,https://iimn.org/news/page/5/,newsletter,"February 2026","Monthly newsletter linking supporter thanks, Operation PARRIS updates, Metro Surge conclusion statement, citizenship appointments and event information.",English,2026-09-21,retrieved,"Newsletter appears in Institute news archive."
CI0043,TC041,International Institute of Minnesota,2026-02-18,website,https://iimn.org/news/page/5/,media_coverage,"Fox 9: What happens to ICE detainees when they are released?","Institute archive links to interview with executive director on release of ICE detainees, services and reentry challenges.",English,2026-09-21,retrieved,"Exact external article/video URL should be captured during reconciliation."
CI0044,TC041,International Institute of Minnesota,2026-02-19,website,https://iimn.org/news/judge-hears-arguments-on-extending-protections-for-refugees-in-minnesota-facing-deportation/,media_coverage,"Judge hears arguments on extending protections for refugees in Minnesota facing deportation","Institute-hosted WCCO coverage of litigation over continued protection for Minnesota refugees.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0045,TC041,International Institute of Minnesota,2026-02-23,website,https://iimn.org/news/page/5/,media_coverage,"Christian Science Monitor coverage of refugee detention litigation","Institute archive links to reporting on federal attempts to arrest and detain Minnesota refugees and legal challenges to that approach.",English,2026-09-21,retrieved,"Exact external article URL should be captured during reconciliation."
CI0046,TC041,International Institute of Minnesota,2026-03-11,website,https://iimn.org/news/pbs-new-hour-minnesota-immigration-crackdown-continues-to-spark-fear-among-people-in-u-s-legally/,media_coverage,"Minnesota immigration crackdown continues to spark fear among people in U.S. legally","Institute-hosted PBS NewsHour coverage on continuing fear after the federal immigration crackdown despite reduced agent presence.",English,2026-09-21,retrieved,"Institute-hosted media coverage."
CI0047,TC041,International Institute of Minnesota,2026-03-16,website,https://iimn.org/news/thank-you-business-supporters/,supporter_thanks,"Thank you, small businesses & organizations","Institute thanks businesses and organizations that provided donations, in-kind support, volunteering, legal-service expansion, groceries and rent assistance during the crisis.",English,2026-09-21,retrieved,"General organizational communication tied to crisis response."
