item_id,record_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
D2-01-WEB-001,D2-01,ACLU of Minnesota,2025-12-17,website,https://www.aclu-mn.org/press-releases/1a/,press_release,"ACLU-MN, Pro Bono Partners Sue to Protect Protesters, Observers and Journalists from Illegal Activity by ICE","ACLU-MN announces Tincher v. Noem, challenging alleged retaliation, detention, force, and intimidation against people observing and protesting immigration-enforcement activity in Minnesota.",English,text_image,,uncoded,2026-09-21,retrieved,"Official ACLU-MN press release; published Dec. 17, 2025.","Full-census campaign-level website item. Organizational allegations are preserved as attributed claims."
D2-01-WEB-002,D2-01,ACLU of Minnesota,2025-12-19,website,https://www.aclu-mn.org/legal-cases/,case_page,"Corey-Gruenes et al. v. Freeborn County et al.","ACLU-MN lists a Dec. 19, 2025 case challenging a county agreement involving detention for ICE and public-funding support for immigration enforcement.",English,text,,uncoded,2026-09-21,retrieved_from_archive_index,"Official ACLU-MN Legal Cases archive; exact case date Dec. 19, 2025.","Full-census campaign-level website item."
D2-01-WEB-003,D2-01,ACLU of Minnesota,2026-01-07,website,https://www.aclu-mn.org/press-releases/mn-ice-shooting/,press_release,"ACLU and ACLU of Minnesota Demand Immediate Action After ICE Shoots and Kills Minnesota Woman","ACLU-MN responds to the fatal shooting of Renee Nicole Good, expressing devastation and calling for federal immigration agents to withdraw from Minnesota.",English,text_image,,uncoded,2026-09-21,retrieved,"Official ACLU-MN press release; published Jan. 7, 2026.","Full-census campaign-level website item."
D2-01-WEB-004,D2-01,ACLU of Minnesota,2026-01-15,website,https://www.aclu-mn.org/press-releases/ice-lawsuit2/,press_release,"ACLU, ACLU of Minnesota Sue Federal Government to End ICE, CBP’s Practice of Suspicionless Stops, Warrantless Arrests, and Racial Profiling of Minnesotans","ACLU-MN announces Hussen v. Noem, a class-action challenge to alleged warrantless arrests, suspicionless stops, and racial profiling by federal immigration agents in Minnesota.",English,text_image,,uncoded,2026-09-21,retrieved,"Official ACLU-MN press release; published Jan. 15, 2026.","Full-census campaign-level website item. Allegations preserved as attributed claims."
D2-01-WEB-005,D2-01,ACLU of Minnesota,2026-01-21,website,https://www.aclu-mn.org/cases/hussen-v-noem/,case_page,"Hussen v. Noem et al.","ACLU-MN case page summarizes its constitutional challenge to alleged racial profiling, unlawful seizures, and warrantless arrests by federal immigration agents.",English,text,,uncoded,2026-09-21,retrieved,"Official ACLU-MN case page; latest update Jan. 21, 2026.","Full-census campaign-level website item."
D2-01-WEB-006,D2-01,ACLU of Minnesota,2026-01-24,website,https://www.aclu-mn.org/press-releases/aclu-and-aclu-of-minnesota-demand-immediate-action-after-federal-agents-kill-another-person/,press_release,"ACLU and ACLU of Minnesota Demand Immediate Action After Federal Agents Kill Another Person","ACLU-MN responds to another fatal shooting by federal agents in Minneapolis, emphasizing grief, fear, public protest, and demands for withdrawal of federal immigration forces.",English,text,,uncoded,2026-09-21,retrieved,"Official ACLU-MN press release; published Jan. 24, 2026.","Full-census campaign-level website item."
D2-01-WEB-007,D2-01,ACLU of Minnesota,2026-01-26,website,https://www.aclu-mn.org/press-releases/aclu-statement-on-appeals-court-refusing-to-protect-people-documenting-ice-abuses-in-minnesota/,press_release,"ACLU Statement on Appeals Court Refusing to Protect People Documenting ICE Abuses in Minnesota","ACLU-MN responds to an appeals-court decision involving people documenting and protesting immigration enforcement, emphasizing First Amendment rights, fear, harm, and continued legal advocacy.",English,text,,uncoded,2026-09-21,retrieved,"Official ACLU-MN press release; published Jan. 26, 2026.","Full-census campaign-level website item."
D2-01-WEB-008,D2-01,ACLU of Minnesota,2026-02-03,website,https://www.aclu-mn.org/legislation/,legislative_item,"Rules and Administration - Subcommittee on the Federal Impact on Minnesotans and Economic Stability Committee Testimony","ACLU-MN lists testimony supporting legislation to limit immigration officials' access to childcare centers and discusses federal-enforcement impacts on Minnesotans.",English,text,,uncoded,2026-09-21,retrieved_from_archive_index,"Official ACLU-MN legislation archive; dated Feb. 3, 2026.","Full-census campaign-level website item."
D2-01-WEB-009,D2-01,ACLU of Minnesota,2026-02-04,website,https://www.aclu-mn.org/resources/ice-in-minnesota/,resource_page,"ICE in Minnesota","ACLU-MN publishes a resource page centered on Executive Director Deepinder Mayell's Feb. 4 congressional testimony about Operation Metro Surge and its impacts on Minnesota communities.",English,text_video_document,,uncoded,2026-09-21,retrieved,"Official ACLU-MN resource page anchored to Feb. 4, 2026 testimony.","Full-census campaign-level website item."
D2-01-WEB-010,D2-01,ACLU of Minnesota,2026-02-20,website,https://www.aclu-mn.org/legislation/,legislative_item,"SF 3590: Mask Ban","ACLU-MN lists its position on legislation clarifying Minnesota law regarding law-enforcement masks.",English,text,,uncoded,2026-09-21,retrieved_from_archive_index,"Official ACLU-MN legislation archive; dated Feb. 20, 2026.","Full-census campaign-level website item."
