org_id,organization,platform,canonical_url,account_identification_status,archive_status,evidence_note,study_window_start,study_window_end
TC041,International Institute of Minnesota,Facebook,https://www.facebook.com/IIMN.COMO,verified_official,partial_archive,"User-supplied official account; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC041,International Institute of Minnesota,Instagram,https://www.instagram.com/internationalinstituteofmn/,verified_official,partial_archive,"User-supplied official account; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC041,International Institute of Minnesota,LinkedIn,https://www.linkedin.com/company/international-institute-of-minnesota/,verified_official,partial_archive,"Canonical organization posts already verified in corpus.",2025-11-01,2026-03-31
TC057,Immigrant Law Center of Minnesota,Facebook,https://www.facebook.com/immigrantlawcenterMN,verified_via_official_link_hub,partial_archive,"ILCM official Linktree exposes Facebook; historical enumeration remains incomplete.",2025-11-01,2026-03-31
TC057,Immigrant Law Center of Minnesota,Instagram,https://www.instagram.com/immigrantlawcentermn/,verified_via_official_link_hub,partial_archive,"ILCM official Linktree exposes Instagram; historical enumeration remains incomplete.",2025-11-01,2026-03-31
TC057,Immigrant Law Center of Minnesota,YouTube,,verified_via_official_link_hub,partial_archive,"ILCM official Linktree exposes YouTube but canonical channel URL remains to resolve.",2025-11-01,2026-03-31
TC057,Immigrant Law Center of Minnesota,LinkedIn,https://www.linkedin.com/company/immigrant-law-center-of-minnesota/,verified_official,partial_archive,"Canonical organization posts already verified in corpus.",2025-11-01,2026-03-31
TC057,Immigrant Law Center of Minnesota,X/Twitter,https://twitter.com/ILCM_MN,verified_via_official_link_hub,partial_archive,"ILCM official Linktree exposes X/Twitter; historical enumeration remains incomplete.",2025-11-01,2026-03-31
TC074,COPAL,LinkedIn,https://www.linkedin.com/company/copal-mn/,verified_official,partial_archive,"Canonical organization post already verified.",2025-11-01,2026-03-31
TC074,COPAL,Instagram,https://www.instagram.com/mncopal/,probable_official,partial_archive,"Public references identify @mncopal and a specific Feb. 27 2026 COPAL post; direct platform archive retrieval remains incomplete.",2025-11-01,2026-03-31
TC074,COPAL,Facebook,,channel_verified_url_unresolved,partial_archive,"COPAL materials explicitly indicate Facebook presence; canonical account URL still to resolve.",2025-11-01,2026-03-31
TC074,COPAL,YouTube,,channel_verified_url_unresolved,partial_archive,"COPAL materials display YouTube presence; canonical channel URL still to resolve.",2025-11-01,2026-03-31
TC054,Alight,Facebook,https://www.facebook.com/WeAreAlight/,verified_public_directory,partial_archive,"Current public charity directory identifies Alight's Facebook account; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC054,Alight,Instagram,https://www.instagram.com/We.Are.Alight/,verified_public_directory,partial_archive,"Current public charity directory identifies Alight's Instagram account; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC054,Alight,X/Twitter,https://twitter.com/we_are_alight,verified_public_directory,partial_archive,"Current public charity directory identifies Alight's X/Twitter account; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC054,Alight,LinkedIn,https://www.linkedin.com/company/wearealight/,verified_official,partial_archive,"Canonical organization page and study-window posts verified.",2025-11-01,2026-03-31
TC050,Project for Pride in Living,Facebook,https://www.facebook.com/ppl.inc,verified_public_directory,partial_archive,"Current nonprofit directory identifies PPL Facebook page; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC050,Project for Pride in Living,X/Twitter,https://twitter.com/ppltwincities,verified_public_directory,partial_archive,"Current nonprofit directory identifies PPL X/Twitter profile; historical study-window enumeration incomplete.",2025-11-01,2026-03-31
TC050,Project for Pride in Living,LinkedIn,https://www.linkedin.com/company/project-for-pride-in-living/,verified_official,partial_archive,"Canonical organization posts already verified in corpus.",2025-11-01,2026-03-31
TC064,The Advocates for Human Rights,Facebook,https://www.facebook.com/TheAdvocatesForHumanRights,verified_public_directory,partial_archive,"Current public charity directory identifies official Facebook account; historical enumeration incomplete.",2025-11-01,2026-03-31
TC064,The Advocates for Human Rights,Instagram,https://www.instagram.com/theadvocatesforhumanrights/,verified_public_directory,partial_archive,"Current public charity directory identifies official Instagram account; historical enumeration incomplete.",2025-11-01,2026-03-31
TC064,The Advocates for Human Rights,X/Twitter,https://twitter.com/The_Advocates,verified_public_directory,partial_archive,"Current public charity directory identifies X/Twitter account; historical enumeration incomplete.",2025-11-01,2026-03-31
TC064,The Advocates for Human Rights,YouTube,https://www.youtube.com/ADVforHumanRights,verified_public_directory,partial_archive,"Current public charity directory identifies YouTube channel; study-window videos remain to enumerate.",2025-11-01,2026-03-31
TC064,The Advocates for Human Rights,LinkedIn,https://www.linkedin.com/company/the-advocates-for-human-rights/,verified_official,partial_archive,"Canonical organization posts already verified in corpus.",2025-11-01,2026-03-31
