org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC041,International Institute of Minnesota,eligible,yes,yes,nonprofit,yes,standalone_organization,"Official site states the Institute helps immigrants and refugees make Minnesota their home through refugee resettlement, immigration and citizenship assistance, English education, workforce development, and related New American services from its St. Paul office",https://iimn.org/about-us/,https://iimn.org/programs/,"Strong inclusion case"
TC042,Isuroon,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Official site identifies Isuroon as a Somali women-led organization in Minneapolis serving Somali and other ethnic women, with refugee support and culturally specific services; Minnesota Help Me Connect states programs are designed for immigrants and refugees and serve the Twin Cities metro",https://isuroon.org/,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Isuroon/Counseling_Services/1,"Strong inclusion case"
TC043,Minnesota African Women's Association,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"MAWA states its mission is to promote the health and well-being of African refugee and immigrant women and their families in the Twin Cities through research, education, advocacy, and programming",https://mawanet.org/who-we-are/,https://jobs.minnesotanonprofits.org/company/minnesota-african-womens-association-66816,"Strong inclusion case"
TC044,Minnesota Council of Churches - Refugee Services,eligible,yes,yes,faith_based_nonprofit_program,yes,program_under_parent_org,"Minnesota Council of Churches operates Refugee & Immigrant Services from its Twin Cities office in St. Paul, providing welcome, support, and resources for newcomers resettling in Minnesota",https://mnchurches.org/,https://mnchurches.org/contact,"Strong inclusion case; relevant unit is Refugee & Immigrant Services"
TC045,Neighborhood House,eligible,yes,yes,nonprofit,yes,standalone_organization,"Neighborhood House states it has served refugees and immigrants on St. Paul's West Side for more than a century and remains a full-service hub for refugees, immigrants, and others in transition",https://neighborhoodhousemn.org/about/,https://neighborhoodhousemn.org/,"Strong inclusion case"
TC046,New American Development Center,eligible,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"Minnesota Attorney General registry lists NADC as an active Minneapolis charity serving minority/immigrant families; Hennepin County describes its culturally appropriate business and financial services for the East African immigrant community",https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=320241006&Yr=CURR&cmdSearch=View,https://www.elevatehennepin.org/what-we-offer/resource-directory/new-american-development-center,"Strong inclusion case"
TC047,Oromo Community of Minnesota,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Official site states OCM was established to help Oromo refugees and immigrants settle and integrate in Minnesota, particularly the Twin Cities, and is a 501(c)(3) nonprofit based in St. Paul",https://oromocommunitymn.org/about-us/,https://oromocommunitymn.org/,"Strong inclusion case"
TC048,Our Saviour's Community Services,eligible,yes,yes,nonprofit,yes,standalone_organization_with_immigrant_program,"OSCS is an independent Minneapolis nonprofit whose English Learning Center explicitly serves adult immigrants and refugees with English, math, digital literacy, and citizenship preparation",https://oscs-mn.org/about/,https://oscs-mn.org/english-learning-center/,"Strong inclusion case; immigrant/refugee relevance is concentrated in the English Learning Center but substantial enough to retain the parent organization"
TC049,PRISM,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"PRISM is a Golden Valley nonprofit providing food, clothing, housing-related assistance, and resource navigation to low-income households broadly; current materials do not identify immigrants/refugees as an explicit or substantial organizational public",https://prismmpls.org/,https://mn.gov/adresources/search/4243e8ed-90c4-57d4-908b-bf5a998d7f34,"Exclude under incidental-population rule"
TC050,Project for Pride in Living,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"PPL is an active Minneapolis charity serving low- and moderate-income individuals and families through housing and employment programs; current mission and service descriptions do not identify immigrant/refugee communities as a defining organizational public",https://careerforce.mn.gov/partner/project-pride-living-minneapolis,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=237232208&Yr=CURR&cmdSearch=View,"Exclude under incidental-population rule"
