item_id,org_id,organization,date,platform,url,content_type,title,source_summary,relevance_terms,retrieval_date,inclusion_status
CI0001,TC041,International Institute of Minnesota,2026-01-10,website,https://iimn.org/news/minnesota-high-school-athletes-lives-upended-by-ice-surge/,media_coverage,"Minnesota high school athletes’ lives upended by ICE surge","Institute-hosted media item describing students missing routines, leaving teams, and using sports as a coping mechanism during the Minnesota enforcement surge.","ICE; students; disruption; coping; fear",2026-09-21,include
CI0002,TC041,International Institute of Minnesota,2026-01-15,website,https://iimn.org/news/what-you-need-to-know-about-operation-parris/,announcement,"What you need to know about Operation PARRIS","Institute explains Operation PARRIS, reports arrests and rapid transfers of lawfully admitted refugees, and emphasizes refugees’ legal status and safety histories.","ICE; Operation PARRIS; refugees; detention; legal status; safety",2026-09-21,include
CI0003,TC041,International Institute of Minnesota,2026-01-28,website,https://iimn.org/news/action-alert-ice/,action_alert,"Demand Congress end ICE operations in Minnesota","Action alert characterizes Metro Surge as causing fear and panic, urges constituents to contact Congress, and frames dignity, safety, and constitutional protection as community needs.","Metro Surge; ICE; fear; panic; dignity; safety; action",2026-09-21,include
CI0004,TC041,International Institute of Minnesota,2026-02-02,website,https://iimn.org/news/npr-refugees-relive-the-trauma-they-fled-as-ice-targets-them-in-minnesota/,media_coverage,"Refugees relive the trauma they fled as ICE targets them in Minnesota","Institute-hosted NPR coverage centers refugees experiencing renewed fear and trauma while ICE targets refugee households in Minnesota.","ICE; refugees; trauma; fear; household",2026-09-21,include
CI0005,TC041,International Institute of Minnesota,2026-02-12,website,https://iimn.org/news/statement-on-end-of-operation-metro-surge/,statement,"End of Operation Metro Surge","Institute expresses relief and cautious optimism while emphasizing continuing detention, stress, hardship, pain, trauma, recovery, dignity, freedom, and mutual support.","Metro Surge; relief; cautious optimism; stress; hardship; trauma; dignity; freedom",2026-09-21,include
CI0006,TC041,International Institute of Minnesota,2026-02-17,website,https://iimn.org/news/operation-parris-update/,announcement,"Operation PARRIS Update","Update explains temporary court protection for refugees, notes concern for people unaware of the order or still detained, and provides protective information.","Operation PARRIS; refugees; detention; protection; concern; rights",2026-09-21,include
CI0007,TC041,International Institute of Minnesota,2026-02-18,website,https://iimn.org/news/page/5/,newsletter,"February 2026 newsletter","Newsletter directs readers to Operation PARRIS updates, the Metro Surge conclusion statement, citizenship appointments, and supporter information.","Operation PARRIS; Metro Surge; citizenship; support",2026-09-21,include
CI0008,TC041,International Institute of Minnesota,2026-02-23,website,https://iimn.org/news/page/5/,media_coverage,"Christian Science Monitor coverage of refugee detention litigation","Institute-hosted media item highlights federal litigation over arrest and detention of refugees in Minnesota and challenges to longstanding refugee protections.","refugees; detention; litigation; legal protection",2026-09-21,include
CI0009,TC074,COPAL,2026-01-07,website,https://copalmn.org/2026/01/07/,statement,"COPAL Condemns ICE Shooting During Minneapolis HSI Investigation","COPAL describes itself as alarmed and heartbroken by escalating federal enforcement violence and links the shooting to broader fear and danger in Twin Cities communities.","ICE; shooting; alarm; heartbreak; fear; violence; community safety",2026-09-21,include
CI0010,TC074,COPAL,2026-01-15,website,https://copalmn.org/copal-repudiates-ice-violence-and-demands-immediate-federal-accountability/,statement,"COPAL Repudiates ICE Violence and Demands Immediate Federal Accountability","COPAL describes terror, fear, confusion, family trauma, chaos, separation, and loss of life while demanding federal accountability.","ICE; terror; fear; confusion; trauma; family separation; accountability",2026-09-21,include
CI0011,TC074,COPAL,2026-01-22,website,https://copalmn.org/iceout/,event_mobilization,"ICE OUT OF MINNNESOTA MARCH | JAN 23","COPAL promotes a January 23 march demanding ICE leave Minnesota, serving as direct mobilization communication during the enforcement surge.","ICE; march; protest; mobilization; collective action",2026-09-21,include
CI0012,TC074,COPAL,2026-01-23,website,https://copalmn.org/2026/01/23/,civic_mobilization,"Virtual Caucus Education Trainings","COPAL connects immigrant-community advocacy with caucus participation and encourages the community to move from protest voice to formal civic participation.","immigrant community; civic action; caucus; mobilization",2026-09-21,include
CI0013,TC074,COPAL,2026-03-05,website,https://copalmn.org/noem-is-out-but-the-harm-remains-copal-demands-full-investigation-into-operation-metro-surge-abuses/,statement,"Noem is Out, but the Harm Remains","COPAL says Metro Surge brought horror, raids, family separation, threats, detention, constant fear, and deaths, and demands investigation and accountability.","Metro Surge; horror; fear; family separation; detention; accountability",2026-09-21,include
CI0014,TC075,Unidos MN,2026-01-06,website,https://unidos-mn.org/media/2026/1/11/when-ice-enters-a-hospital-why-clear-protocols-matter-for-patient-safety,press_statement,"When ICE Enters a Hospital: Why Clear Protocols Matter for Patient Safety","Unidos describes ICE presence at HCMC as causing fear, disrupted care, and damaged trust, and calls for clear hospital protocols, patient rights, privacy, and safety.","ICE; hospital; fear; trust; safety; patient rights; preparedness",2026-09-21,include
CI0015,TC075,Unidos MN,2026-01-07,website,https://unidos-mn.org/media/2026/1/11/owpj3175an9at1dp8qvpneejdqv9wt,statement,"Statement from Unidos MN Regarding the Murder of Renee Good","Unidos frames the killing through grief, devastating loss, courage, dignity, terror, family separation, political violence, safety, and collective protection.","ICE; grief; loss; courage; dignity; terror; family separation; safety",2026-09-21,include
CI0016,TC075,Unidos MN,2026-01-16,website,https://unidos-mn.org/events/safety-and-justice-2026,event_mobilization,"Safety for Immigrant Communities and Justice for Essential Workers","Unidos invites organizing across workplaces, schools, faith communities, and neighborhoods to create safety, freedom, and multiracial democracy amid current attacks.","safety; freedom; organizing; workplace; schools; faith; neighborhoods",2026-09-21,include
CI0017,TC075,Unidos MN,2026-03-05,website,https://unidos-mn.org/media/minnesotans-fired-noem,statement,"Statement from Unidos MN on the Firing of DHS Secretary Kristi Noem","Unidos links enforcement policies to family separation, detention, economic harm, fear, trauma, and constitutional-rights erosion while framing the personnel change as a hard-fought step.","fear; trauma; family separation; detention; economic harm; accountability",2026-09-21,include
CI0018,D2-01,ACLU of Minnesota,2025-12-17,website,https://www.aclu-mn.org/press-releases/1a/,press_release,"ACLU-MN, Pro Bono Partners Sue to Protect Protesters, Observers and Journalists from Illegal Activity by ICE","ACLU-MN describes harassment, intimidation, chemical irritants, force, detention, and threats to speech and assembly, while presenting litigation as protection of constitutional rights.","ICE; protest; intimidation; force; detention; rights; protection",2026-09-21,include
CI0019,D2-01,ACLU of Minnesota,2026-01-07,website,https://www.aclu-mn.org/press-releases/mn-ice-shooting/,press_release,"ACLU and ACLU of Minnesota Demand Immediate Action After ICE Shoots and Kills Minnesota Woman","ACLU-MN expresses devastation, calls the killing a tragedy, describes agents as endangering communities, and demands the operation end.","ICE; devastation; tragedy; danger; withdrawal; accountability",2026-09-21,include
CI0020,D2-01,ACLU of Minnesota,2026-01-15,website,https://www.aclu-mn.org/press-releases/ice-lawsuit2/,press_release,"ACLU, ACLU of Minnesota Sue Federal Government to End ICE, CBP Practices","ACLU-MN describes racial profiling, warrantless arrests, rights violations, community fear, and disruption of everyday civic life while seeking injunctive relief.","ICE; CBP; racial profiling; fear; rights; disruption; lawsuit",2026-09-21,include
CI0021,D2-01,ACLU of Minnesota,2026-01-24,website,https://www.aclu-mn.org/press-releases/aclu-and-aclu-of-minnesota-demand-immediate-action-after-federal-agents-kill-another-person/,press_release,"ACLU and ACLU of Minnesota Demand Immediate Action After Federal Agents Kill Another Person","ACLU-MN describes heartbreak, violence, danger, and community terror following another fatal shooting and demands federal agents withdraw.","ICE; heartbreak; killing; violence; danger; terror; withdrawal",2026-09-21,include
CI0022,D2-01,ACLU of Minnesota,2026-01-26,website,https://www.aclu-mn.org/press-releases/aclu-statement-on-appeals-court-refusing-to-protect-people-documenting-ice-abuses-in-minnesota/,press_release,"ACLU Statement on Appeals Court Refusing to Protect People Documenting ICE Abuses in Minnesota","ACLU-MN calls the ruling deeply disappointing, recounts intimidation and physical harm, and emphasizes the right to protest without fear of government violence.","fear; disappointment; intimidation; harm; protest; rights",2026-09-21,include
CI0023,TC064,The Advocates for Human Rights,2026-01-07,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=624,press_release,"The Advocates for Human Rights Condemns Extrajudicial Killing","The Advocates describes the killing as shocking and tragic, links it to intimidation and lack of accountability, and calls for swift accountability.","shock; tragedy; intimidation; accountability; killing",2026-09-21,include
CI0024,TC064,The Advocates for Human Rights,2026-01-24,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=626,press_release,"Refugees Sue Trump Administration to Stop ICE Terror Campaign","The Advocates announces litigation challenging arrests, detention, interrogation, and imprisonment of lawfully resettled refugees in Minnesota.","ICE; refugees; terror; arrest; detention; litigation",2026-09-21,include
CI0025,TC064,The Advocates for Human Rights,2026-01-24,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=627,statement,"The Advocates Calls for Investigation into Extrajudicial Killing","The Advocates says it is devastated by another killing, calls for an independent investigation, links accountability to prevention, and urges withdrawal of federal forces.","devastation; killing; justice; accountability; prevention; withdrawal",2026-09-21,include
CI0026,TC064,The Advocates for Human Rights,2026-01-25,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=628,post,"View from Minnesota: January 2026","The Advocates summarizes raids, family separation, detention, force against protesters, deaths, lawsuits, and ongoing legal representation, then calls readers to congressional action.","raids; family separation; detention; force; death; action",2026-09-21,include
CI0027,TC064,The Advocates for Human Rights,2026-01-27,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=629,press_release,"The Advocates for Human Rights, Individual Detained In Minnesota Sue DHS Over Denial of Access to Lawyers","The Advocates challenges detention practices that block confidential communication with lawyers and rapidly transfer detainees out of state.","detention; lawyers; due process; transfer; rights; lawsuit",2026-09-21,include
CI0028,TC064,The Advocates for Human Rights,2026-01-28,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=630,press_release,"Court Orders ICE To Stop Unlawful Arrest and Detention of Refugees","The Advocates reports a court order halting detention of resettled refugees and requiring release of those detained in Minnesota and transferred to Texas.","refugees; detention; release; court order; protection",2026-09-21,include
CI0029,TC064,The Advocates for Human Rights,2026-02-09,website,https://theadvocatesforhumanrights.org/News/A/Index?id=632,action_alert,"Demand Congress Ensure Meaningful Change in DHS Funding","The Advocates urges congressional action on DHS funding and frames enforcement as harmful, unlawful, unaccountable, and requiring structural change.","DHS; funding; harm; accountability; human rights; action",2026-09-21,include
CI0030,TC064,The Advocates for Human Rights,2026-02-12,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=633,statement,"Statement on Tom Homan's Plan to 'Draw Down' Immigration Agents in Minnesota","The Advocates describes killings, injuries, chaos, racial profiling, constitutional harms, and disrupted access to education and medical care while welcoming an end to abuses.","drawdown; killings; chaos; racial profiling; rights; education; healthcare",2026-09-21,include
CI0031,TC064,The Advocates for Human Rights,2026-02-12,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=634,press_release,"Federal Court Orders DHS to Restore Attorney Access at Minnesota Detention Facilities","The Advocates reports a court order restoring lawyer access and emphasizes irreparable harm caused when detainees are denied counsel.","detention; attorney access; harm; rights; court order",2026-09-21,include
