record_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,communication_audit_note,screening_notes
D2-01,ACLU of Minnesota,eligible,yes,yes_at_campaign_level,nonprofit_civil_liberties_org,yes,immigrant_rights_campaign_within_broader_org,"ACLU of Minnesota is a Minneapolis-based civil-liberties nonprofit with major 2026 immigration-enforcement litigation and public advocacy, including a January 2026 class action challenging ICE/CBP stops and arrests in Minnesota",https://www.aclu-mn.org/,https://www.aclu.org/press-releases/aclu-sues-federal-government-to-end-ice-cbps-practice-of-suspicionless-stops-warrantless-arrests-and-racial-profiling-of-minnesotans,"Strong website/media archive likely; audit only immigration/enforcement-related content","Include at immigrant-rights campaign/communication level, not all ACLU-MN content"
D2-02,MN8 / Release MN8,eligible,yes,yes,community_based_advocacy_org,yes,standalone_organization,"Minnesota immigration-resource directories describe Release MN8 as an organization fighting detention and deportation in Southeast Asian communities and providing direct family support, organizing, and leadership development",https://www.miracmn.com/resources,https://www.house.mn.gov/Caucus/View/DFL/41084,"Likely social-media-centered; later audit official website/social account continuity during study period","Strong inclusion case"
D2-03,Ayada Leads,eligible,yes,yes,nonprofit,yes,standalone_organization,"Ayada Leads is a Minneapolis nonprofit whose mission centers New Americans, particularly African Diaspora women, and its current public resource hub includes immigrant resources and ICE-related advocacy content",https://www.ayadaleads.org/career,https://linktr.ee/AyadaLeads,"Very strong multi-platform presence including Facebook Instagram TikTok YouTube and X; promising communication-data candidate","Immigration is part of a broader civic-leadership mission but New Americans are an explicit core public"
D2-04,Black Immigrant Collective,eligible,yes,yes,community_based_advocacy_org,yes,standalone_organization,"Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",https://actionnetwork.org/groups/black-immigrant-collective,https://www.miracmn.com/resources,"Communication may be distributed across Action Network and social channels; later platform audit needed","Strong inclusion case"
D2-05,CAIR-Minnesota,eligible,yes,yes_at_campaign_level,nonprofit_civil_rights_org,yes,immigrant_rights_campaign_within_broader_org,"CAIR-Minnesota is a Minneapolis grassroots civil-rights organization serving Muslim and marginalized communities and currently provides multilingual ICE know-your-rights resources, legal referrals, trainings, and family support",https://cairmn.org/,https://cairmn.org/know-your-rights/ice/,"Excellent web/video resource archive; audit enforcement-related communication only","Include at immigration/ICE civil-rights communication level rather than all CAIR-MN content"
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,probably_eligible,yes,yes_but_not_exclusive,nonprofit_tenant_org,yes,broad_mission_with_explicit_immigrant_constituency,"IX is an active Minneapolis 501(c)(3) tenant-organizing organization; its mission is housing justice broadly, but its organizing materials explicitly identify working-class BIPOC and immigrant renters in North and South Minneapolis as a core constituency",https://www.inquilinxsunidxs.org/en/about,https://www.inquilinxsunidxs.org/our-work,"Website has dated announcements and social-media links; likely auditable","Retain provisionally; final inclusion should depend on whether immigrant/enforcement communication during study period is organizationally meaningful, without using that content as the first eligibility gate"
D2-07,Groundwork Legal,eligible,yes,yes,nonprofit_legal_aid_org,yes,standalone_organization,"Groundwork Legal is a Minnesota legal nonprofit with extensive study-period litigation and public communication concerning ICE detention, asylum seekers, and immigrant families in Minneapolis/St. Paul",https://groundworklegal.org/,https://groundworklegal.org/news/father-release,"Strong dated press-release/news archive; excellent communication-data candidate","Strong inclusion case"
D2-08,Defend the 612,eligible,yes,yes,grassroots_network,yes,standalone_network_unit,"Defend the 612 operates a Minneapolis neighborhood-based ICE Watch rapid-response network and publicly recruits participants into neighborhood sanctuary and federal-enforcement monitoring groups",https://actionnetwork.org/forms/defend-the-612-3,,"Likely communication dispersed across Action Network, trainings, social platforms and possibly nonpublic messaging; later audit must distinguish public retrievable content from private Signal communications","Include as grassroots/network organizational unit; do not collect private-group communications"
D2-09,Monarca,duplicate_program_candidate,yes,yes,program,yes,merge_with_TC075,"Discovery evidence indicates Monarca functions as an immigrant rapid-response initiative associated with Unidos MN rather than a separate standalone organization",,,"If Monarca-branded public communications exist, preserve them as program-level items attributed to Unidos MN","Do not count as separate organizational unit pending final parent-program verification"
D2-10,Immigrant Defense Network,eligible,yes,yes,coalition_network,yes,standalone_network_unit,"Established in 2025, IDN is a Minnesota network of 90+ immigrant, labor, legal, faith, and community organizations focused on immigrant rights, rapid response, legal support referrals, public education, demonstrations, and narrative change",https://immigrantdefensenetwork.org/,https://www.house.mn.gov/Caucus/View/DFL/41084,"Current website has resources/events and explicit narrative/public communication functions; strong study candidate","Include as network-level communicating organization even though member organizations may also appear separately"
