record_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,communication_audit_note,screening_notes
D4-01,Ethiopian Community in Minnesota,eligible,yes,yes,community_based_org,yes,standalone_organization,"ECM is based in St. Paul and has served Minnesota's Ethiopian community since 1995 through translation, advocacy, job counseling, housing help, civic engagement and cultural programs",https://ethiopiancommunitymn.org/about/,https://ethiopiancommunitymn.org/contact/,"Official website and Facebook presence documented; strong candidate for later communication audit","Strong inclusion under immigrant-origin community criterion"
D4-02,Organization of Liberians in Minnesota,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"OLM is a Brooklyn Park/Minneapolis-area 501(c)(3) serving Liberian and other African immigrant communities through education, housing, health, employment, workforce and other social services",https://www.olmbp.org/,https://www.olmbp.org/aboutolm,"Current website active; later inventory social platforms and study-period posts","Strong inclusion case"
D4-03,Lao Family Community of Minnesota,eligible,yes,yes,nonprofit_mutual_assistance_org,yes,standalone_organization,"Lao Family Community is a St. Paul nonprofit mutual-assistance association founded in 1977 whose mission explicitly supports Hmong Americans and other immigrant and refugee populations",https://www.laofamilycommunity.org/about/,https://www.laofamilycommunity.org/,"Official website active; later audit social/public content","Strong inclusion case; distinct from Lao Assistance Center of Minnesota"
D4-04,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),probably_eligible,yes,yes_at_immigrant_origin_community_level,nonprofit,yes,standalone_organization,"SAYFSM is a Minnesota 501(c)(3) serving Sub-Saharan African youth and families through culturally responsive health and human-service outreach, but current public materials are less explicit about immigrant/refugee status than some other candidates",https://www.sayfsm.org/,,"Website exists; later verify study-period public communication and explicit immigrant/refugee constituency","Retain provisionally under immigrant-origin community criterion"
D4-05,Vietnamese Social Services of Minnesota,eligible,yes,yes,nonprofit_direct_service_org,yes,standalone_organization,"VSSMN is a St. Paul direct-service organization explicitly serving low-income immigrant and refugee families throughout the seven-county Twin Cities metro; Vietnamese and Karen refugees/immigrants comprise most participants",https://www.vssmn.org/,https://www.vssmn.org/contact-us.html,"Current website active; strong platform-audit candidate","Strong inclusion case"
D4-06,Restoration for All Inc.,eligible,yes,yes,nonprofit_cultural_community_org,yes,standalone_organization,"Restoration for All is an Inver Grove Heights cultural-community organization serving the Twin Cities metro and specializing in immigrants, refugees, and African communities; 2025-26 state funding also targets culturally relevant services for African immigrant and refugee communities",https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Restoration_for_All%2C_Inc./Cultural_Community_Organization/1,https://www.revisor.mn.gov/bills/94/2025/0/SF/2031/versions/latest/,"Official website is listed by state directory; later audit public communication channels","Strong inclusion case"
D4-07,Somali Parent Academy,eligible,yes,yes,community_based_nonprofit_or_org,yes,standalone_organization,"Somali Parent Academy states that it uplifts immigrant families from the Horn of Africa in Minnesota through education, economic support, advocacy and community-driven programs",https://somaliparentacademy.com/,,"Current 2026 website active; later inventory social channels and dated content","Strong inclusion case"
D4-08,Hmong Shaman & Herb Center,probably_eligible,yes,yes_at_immigrant_origin_community_level,community_cultural_health_org_to_verify,yes,organizational_form_to_verify,"Minnesota Department of Health identifies the Hmong Shaman & Herb Center as a Ramsey County grantee working across the Twin Cities to address health inequities in the Hmong population and integrate culturally specific Hmong healing practices",https://www.health.state.mn.us/communities/practice/equityengage/networks/grantees.html,,"Need identify official website/social accounts and confirm organizational legal form before final lock","Retain provisionally"
D4-09,African Growers and Producers Alliance (AGAPA),probably_eligible,substantial_metro_activity,yes,nonprofit,yes,geographic_scope_to_verify,"AGAPA is a Black-led Minnesota nonprofit for farmers of African descent; MDH describes metro-region work with African immigrant farmers, although its home location is Isanti County",https://www.health.mn.gov/communities/equity/networks/grantees.html,https://www.lrl.mn.gov/archive/minutes/senate/2022/Finag/20220328/FinAg_20220328_AGAPA-Brochure.pdf,"Need verify independent website/social channels and how much study-period communication was metro-focused","Retain provisionally because substantial Twin Cities operation appears plausible despite non-metro home base"
D4-10,Legacy Family Center,eligible,yes,yes,nonprofit,yes,standalone_organization,"Legacy Family Center is a 501(c)(3) founded by West African immigrant/refugee mothers in Brooklyn Park/Brooklyn Center and explicitly serves West African refugee and immigrant families through education, workforce, wellness and social-service navigation",https://www.legacyfamilycentermn.org/,https://www.legacyfamilycentermn.org/about,"Official website and newsletter sign-up active; strong candidate for platform audit","Strong inclusion case"
D4-11,Care Resource Connection,probably_eligible,probable,uncertain,organization_form_to_verify,probable,needs_more_verification,"CARE Resource Connection appears in Minnesota public-health/caregiving resource systems and has participated in state public-health programming, but current evidence does not yet establish that immigrants/refugees are a substantial organizational public or clarify organizational form",https://mn.gov/dhs/age-friendly-mn/blueprint/data/,https://www.americorps.gov/sites/default/files/upload/state_profiles/pdf_2024/MN_SrvLoc.pdf,"Official communication channels and immigrant/refugee programming must be verified","Retain provisionally rather than exclude on incomplete evidence"
D4-12,Power of People Leadership Institute,exclude,yes,no_or_not_established,nonprofit_or_community_org,yes,broad_youth_leadership_org,"The Power of People Leadership Institute is an active Minneapolis youth and leadership organization with mentoring and international/community programs, but current public materials do not establish immigrants/refugees as an explicit or substantial organizational public",https://www.popinstitute.org/,,"Website active, but exclusion is based on population relevance rather than communication availability","Exclude under immigrant/refugee relevance criterion unless stronger study-period evidence emerges"
