candidate_name,discovery_source_category,discovery_source_name,provisional_org_form,provisional_role,geographic_relevance,seed_list_status,screening_note
Community Services Agency of Minnesota (COMSA-MN),ETHNOCULTURAL_DIRECTORY,Web/community directory,community_based_org,CBO,Twin Cities,new_candidate,Official site states it serves refugees and immigrants in the Twin Cities
Southeast Asian Diaspora Project (SEAD),ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities likely,new_candidate,Listed by CAPM under Cambodian community organizations; verify metro base and immigrant/refugee relevance
Bhutanese Community Organization of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM; verify location and activity during study period
Asian Women United of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,nonprofit,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM under advocacy and capacity building; verify immigrant/refugee population relevance
India Association of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Broad ethnocultural organization; verify study relevance
Fil-Minnesotan Association,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Broad ethnocultural organization; verify nonprofit/public communication status
Cultural Society of Filipino Americans,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Broad ethnocultural organization; verify current activity
Chinese American Association of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Broad ethnocultural organization; verify immigrant/refugee service relevance
The Urban Village,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM under Karen and Karenni; verify current organizational status
Korean Association of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Broad ethnocultural organization; verify current activity and relevance
Association of Nepalis in Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM; verify location and public channels
Tibetan American Foundation of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM; verify immigrant/refugee-facing services
Vietnamese Community of Minnesota,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Listed by CAPM; verify current organization and channels
LatinoLEAD,ETHNOCULTURAL_DIRECTORY,Minnesota Council on Latino Affairs MiLLA,nonprofit,ADV,Twin Cities/Minnesota likely,new_candidate,Latino leadership and policy network; verify Twin Cities operation and immigrant-focused communication
Hispanic Advocacy and Community Empowerment through Research (HACER),ETHNOCULTURAL_DIRECTORY,Minnesota Council on Latino Affairs MiLLA,nonprofit,ADV,Twin Cities/Minnesota likely,new_candidate,Latino policy/research organization; verify immigrant-specific study relevance
Latino Economic Development Center (LEDC),ETHNOCULTURAL_DIRECTORY,Minnesota Council on Latino Affairs MiLLA,nonprofit,DEV,Twin Cities/Minnesota likely,new_candidate,Latino economic-development organization; verify immigrant/refugee population relevance
Alliance of Chicanos Hispanics and Latin Americans (ACHLA),ETHNOCULTURAL_DIRECTORY,Minnesota Council on Latino Affairs MiLLA,community_based_org,ADV,Minnesota/Twin Cities to verify,new_candidate,MiLLA member; verify location and current activity
Asian Media Access,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,nonprofit,CBO,Twin Cities/Minnesota likely,new_candidate,Listed in CAPM media/community ecosystem; verify whether organization fits civil-society and immigrant-serving criteria
Minnesota Hmong Chamber of Commerce,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,nonprofit,DEV,Twin Cities/Minnesota likely,new_candidate,Potential economic-development candidate; verify nonprofit status and immigrant/community focus
MN Zej Zog,ETHNOCULTURAL_DIRECTORY,Council on Asian Pacific Minnesotans,community_based_org,CBO,Minnesota/Twin Cities to verify,new_candidate,Hmong community organization; verify current status and channels
Roseville Covenant Church - Good Neighbor refugee ministry,FAITH_NETWORK,Arrive Ministries partner history,program,FAI,Roseville/Twin Cities,new_candidate,Do not treat as standalone organization unless sustained distinct immigrant/refugee program and public communication are verified
Church of St. Leonard of Port Maurice - refugee co-sponsorship,FAITH_NETWORK,Minnesota Council of Churches co-sponsorship history,program,FAI,Minneapolis,new_candidate,Program-level faith candidate; likely exclude unless sustained study-period organizational communication exists
Church of the Holy Name - refugee co-sponsorship,FAITH_NETWORK,Minnesota Council of Churches co-sponsorship history,program,FAI,Minneapolis,new_candidate,Program-level faith candidate; likely exclude unless sustained study-period organizational communication exists
