record_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,communication_audit_note,screening_notes
D3-13,Vietnamese Community of Minnesota,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"VCM is a New Brighton/Twin Cities 501(c)(3) founded by first-wave Vietnamese refugees and now serves the Vietnamese community through social service, cultural, advocacy, outreach and community-development work",https://vietnam-minnesota.org/our-history/,https://vietnam-minnesota.org/,"Current website has 2026 announcements and community programming; audit social channels and immigration/enforcement content","Strong inclusion case"
D3-14,LatinoLEAD,eligible,yes,yes_at_immigrant_origin_community_level,nonprofit_network,yes,standalone_network_unit,"LatinoLEAD is a St. Paul nonprofit network of Latine leaders with civic and policy advocacy functions; its current materials acknowledge immigration hurdles affecting community stability and leadership",https://www.latinoleadmn.org/,https://www.givemn.org/organization/Latinolead,"Current website/newsletter/social channels likely auditable","Include under immigrant-origin community/network criterion; immigration is one issue within a broader leadership mission"
D3-15,Hispanic Advocacy and Community Empowerment through Research (HACER),eligible,yes,yes_at_immigrant_origin_community_level,nonprofit_research_advocacy_org,yes,standalone_organization,"HACER is a Latino-led advocacy-driven research organization serving Latino Minnesotans through research, community action and policy work, with research interests including immigration and cultural integration",https://hacer-mn.org/,https://hacer-mn.org/mission-vision/,"Active website and social media; later audit study-period immigration/enforcement communication","Eligible under immigrant-origin community and advocacy/research criterion"
D3-16,Latino Economic Development Center (LEDC),eligible,yes,yes_at_immigrant_origin_community_level,nonprofit_cdfi,yes,standalone_organization,"LEDC is an active St. Paul/Minneapolis Latino-focused nonprofit CDFI whose mission is to create economic opportunities for Latinos and strengthen Latino communities",https://www.ledcmn.org/about/,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=510467167&Yr=CURR&cmdSearch=View,"Current news and event pages exist; audit whether enforcement-related communication occurred","Eligible under immigrant-origin/economic-development criterion"
D3-17,Alliance of Chicanos Hispanics and Latin Americans (ACHLA),exclude,no,yes,nonprofit_community_based_org,yes,outside_geographic_scope,"ACHLA explicitly supports migrant and immigrant families, but its current site identifies its base and service area as Rochester and southeastern Minnesota rather than the Twin Cities",https://www.achla-mn.org/,https://www.achla-mn.org/about,"Active website but outside geographic universe","Exclude under Twin Cities geographic criterion"
D3-18,Asian Media Access,eligible,yes,yes,nonprofit_media_community_org,yes,standalone_organization,"Asian Media Access is a Minneapolis nonprofit with a St. Paul presence whose RICE and community programs serve immigrant/refugee communities; its 2026 'Calling America HOME' series explicitly centers immigrant and refugee experiences in Minnesota",https://ww1.amamedia.org/,https://ww1.amamedia.org/calling-america-home-series-culture-of-care/,"Exceptionally relevant communication organization with web/social/media production; strong candidate for later content audit","Strong inclusion case"
D3-19,Minnesota Hmong Chamber of Commerce,probably_eligible,yes,yes_at_immigrant_origin_community_level,community_business_org_to_verify,yes,organizational_form_to_verify,"The Minnesota Hmong Chamber is based in St. Paul and explicitly serves and advocates for the Hmong business community, but nonprofit/civil-society legal form should be verified before final lock",https://mnhmongchamber.org/,,"Active website; later audit public communication if organizational form is confirmed","Retain provisionally under immigrant-origin economic/community criterion"
D3-20,MN Zej Zog,eligible,yes,yes,community_based_org,yes,standalone_organization,"MN Zej Zog is based in Brooklyn Park and explicitly supports Hmong community empowerment, language preservation, educators, youth, cultural connection and grassroots initiatives",https://mnzejzog.org/,,"Active website/events; social channels should be inventoried later","Strong inclusion under immigrant-origin community criterion"
D3-21,Roseville Covenant Church - Good Neighbor refugee ministry,probably_eligible,yes,yes_at_program_level,faith_based_program,yes,program_unit_to_review,"Roseville Covenant documents recurring refugee-support work and a Good Neighbor Team in 2025 committed to walking alongside a refugee family for one year, overlapping the study period",https://www.rosevillecovenant.org/outreach,,"Later determine whether the Good Neighbor ministry had its own sustained public communication during Oct 2025-Mar 2026","Retain provisionally as a program-level faith candidate; do not count church-wide communication automatically"
D3-22,Church of St. Leonard of Port Maurice - refugee co-sponsorship,exclude,yes,historical_only,faith_congregation,no_current_program_evidence,one_off_historical_program,"Available evidence documents a joint refugee-family co-sponsorship with Holy Name in 2018, but no sustained immigrant/refugee program or study-period activity has been established",https://mnchurches.org/creating-perfect-blend,,"No basis yet for a study-period communication audit as a distinct immigrant-serving program","Exclude unless newer 2025-26 program evidence emerges"
D3-23,Church of the Holy Name - refugee co-sponsorship,exclude,yes,historical_only,faith_congregation,no_current_program_evidence,one_off_historical_program,"Available evidence documents a joint refugee-family co-sponsorship with St. Leonard in 2018, but no sustained immigrant/refugee program or study-period activity has been established",https://mnchurches.org/creating-perfect-blend,,"No basis yet for a study-period communication audit as a distinct immigrant-serving program","Exclude unless newer 2025-26 program evidence emerges"
