item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC078-EVT-001,TC078,Jewish Community Action,2026-01-21,website,https://www.jewishcommunityaction.org/events,event_notice,"Ice Out: MN Community Briefing","JCA hosts a briefing on current ICE-response organizing, what is working, and how community members can join.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Visible archive item."
TC078-EVT-002,TC078,Jewish Community Action,2026-01-22,website,https://www.jewishcommunityaction.org/events,event_notice,"Gathered in Love: An Interfaith Service of Trans Solidarity","JCA promotes an interfaith gathering centered on love, courage, belonging, and solidarity with trans and BIPOC communities.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Broader baseline communication."
TC078-EVT-003,TC078,Jewish Community Action,2026-01-23,website,https://www.jewishcommunityaction.org/events,event_notice,"ICE Out of MN: Day of Truth and Freedom","JCA promotes a statewide pause in economic activity demanding that ICE leave Minnesota.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Enforcement-response mobilization."
TC078-EVT-004,TC078,Jewish Community Action,2026-01-25,website,https://www.jewishcommunityaction.org/events,event_notice,"Nonviolent Direct Action Training","JCA offers nonviolent direct-action training in response to ICE targeting immigrant neighbors, framing action through courage, care, community, and safety.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Enforcement-response training."
TC078-EVT-005,TC078,Jewish Community Action,2026-01-25,website,https://www.jewishcommunityaction.org/events,event_notice,"Action Havurah Kickoff Meeting","JCA launches a recurring organizing space focused on relationships, shared values, collective action, and building power.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Broader organizing baseline."
TC078-EVT-006,TC078,Jewish Community Action,2026-01-25,website,https://www.jewishcommunityaction.org/events,event_notice,"Ice Out: MN Community Briefing","JCA hosts another ICE-response organizing briefing covering current actions, strategy, and participation.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Repeated briefing series."
TC078-EVT-007,TC078,Jewish Community Action,2026-02-01,website,https://www.jewishcommunityaction.org/events,event_notice,"Tu B'Shevat Seder","JCA promotes a Jewish ritual/community gathering celebrating Tu Bishvat.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Non-enforcement baseline item."
TC078-EVT-008,TC078,Jewish Community Action,2026-02-08,website,https://www.jewishcommunityaction.org/events,event_notice,"Ice Out: MN Community Briefing","JCA continues its recurring ICE-response briefing series focused on strategy and participation.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Enforcement-response series."
TC078-EVT-009,TC078,Jewish Community Action,2026-02-11,website,https://www.jewishcommunityaction.org/events,event_notice,"ICE OUT: Target Day of Action","JCA mobilizes sit-ins at Target stores to demand that the company publicly oppose ICE killings and harassment.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Direct action item."
TC078-EVT-010,TC078,Jewish Community Action,2026-02-15,website,https://www.jewishcommunityaction.org/events,event_notice,"North Metro Nonviolent Direct Action Training","JCA offers direct-action training in response to ICE targeting immigrant and BIPOC neighbors, emphasizing courage, care, community, and safety.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Enforcement-response training."
TC078-EVT-011,TC078,Jewish Community Action,2026-02-22,website,https://www.jewishcommunityaction.org/events,event_notice,"Saint Paul Nonviolent Direct Action Training","JCA continues its direct-action training series in response to ICE targeting immigrant and BIPOC neighbors.",English,text,,uncoded,2026-09-21,retrieved,"Official JCA events archive","Enforcement-response training."
