org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
D1-01,Voice in the Wilderness Organization,https://www.voiceinthew.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site is available, but no social URLs were recovered in current retrieval. Continue footer/source inspection and canonical platform verification; absence is not evidence of no social presence.",2026-09-22
D1-09,Southern Minnesota Regional Legal Services - Refugee & Immigration Services,https://www.smrls.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official SMRLS site is active; no social URLs were exposed in current retrieval. Because this is a program-within-parent-organization unit, any later social posts must be attributable to Refugee & Immigration Services or clearly relevant to the program before inclusion.",2026-09-22
D2-01,ACLU of Minnesota,https://www.aclu-mn.org/,first_party_social_links_verified,"Facebook; X/Twitter; Instagram; YouTube use documented","Official ACLU-MN supporter materials explicitly instruct audiences to share ACLU-MN posts on Facebook, Twitter/X, and Instagram and note livestreaming on Facebook/YouTube",,"Strong first-party confirmation of major channels. Because the unit is campaign-level within a broader organization, later post inclusion should be limited to the defined immigration/enforcement communication scope.",2026-09-22
D2-02,MN8 / Release MN8,https://minnesota8.org/,first_party_historical_social_links_verified,"Facebook; Tumblr; X/Twitter; Instagram","Official Release MN8 campaign toolkit states that the campaign launched via Facebook and also used Tumblr, Twitter/X, and Instagram",,"Strong first-party historical social-platform evidence. Current account continuity and Nov. 2025-Mar. 2026 activity still need verification before counting study-window posts.",2026-09-22
D2-03,Ayada Leads,https://www.ayadaleads.org/,first_party_link_hub_social_presence_verified,"Facebook; Instagram; TikTok; YouTube; X/Twitter indicated through official public resource hub","Official Ayada Leads public link hub was identified during eligibility screening; canonical LinkedIn company page independently verified: https://www.linkedin.com/company/women-organizing-women-network",,"Multi-platform presence is strong, but exact canonical account URLs should be resolved platform by platform before historical enumeration.",2026-09-22
D2-04,Black Immigrant Collective,https://actionnetwork.org/groups/black-immigrant-collective,public_organizational_hub_verified_social_secondary,"Action Network organizational hub verified","Secondary sources consistently identify Facebook: https://www.facebook.com/BlackImmigrantCollective/",,"Action Network confirms the organization and public actions; current first-party linkage to social accounts remains unresolved. Preserve Facebook as secondary-verified until first-party/account continuity is confirmed.",2026-09-22
D2-05,CAIR-Minnesota,https://cairmn.com/,checked_no_machine_readable_social_links,none_exposed,,,"Official site is active, but no social URLs were recovered in the current site-index pass. Continue footer/source inspection and canonical platform verification; later analysis should remain scoped to immigration/ICE civil-rights communication rather than all CAIR-MN content.",2026-09-22
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,https://www.inquilinxsunidxs.org/,first_party_social_links_verified,"Facebook; X/Twitter; Instagram","Official privacy policy states that the organization maintains a presence on Facebook, Twitter/X, and Instagram and references a Social Media contact area",,"Strong first-party confirmation of three platforms. Resolve exact canonical URLs and study-window posts separately.",2026-09-22
D2-07,Groundwork Legal,https://groundworklegal.org/,canonical_platform_verified_first_party_site_checked,"LinkedIn verified canonically","LinkedIn: https://www.linkedin.com/company/groundwork-legal",,"Official website is active; no additional social URLs were exposed in current retrieval. LinkedIn company account is already canonical-platform verified; continue discovery of other first-party channels.",2026-09-22
D2-08,Defend the 612,https://actionnetwork.org/forms/defend-the-612-3,public_organizational_hub_verified_social_leads,"Action Network organizational signup hub verified","Study-period Instagram lead exists for @defendthe612 / Defend 612; exact canonical account verification remains pending",,"Defend the 612 is clearly a public network unit with heavy social-media use, but current evidence in this pass is split across Action Network and third-party references. Keep social accounts as leads until canonical ownership is confirmed.",2026-09-22
D2-10,Immigrant Defense Network,https://immigrantdefensenetwork.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official network website is active; no social URLs were recovered in current site-index pass. Continue source/footer inspection and canonical platform verification. Network-level communication should remain distinct from member-organization posts.",2026-09-22
