item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC050-WEB-001,TC050,Project for Pride in Living,2026-01-15,website,https://www.ppl-inc.org/news,news,"PPL President and CEO named to MSPBJ's 2026 Power Shift 25 executives list","PPL reports that President and CEO Karla Henderson was named to the Minneapolis/St. Paul Business Journal's 2026 Power Shift 25 list.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine leadership recognition retained."
TC050-WEB-002,TC050,Project for Pride in Living,2026-01-15,website,https://www.ppl-inc.org/news,news,"PPL welcomes Elisa Pluhar as Associate Vice President of Advancement","PPL announces Elisa Pluhar as Associate Vice President of Advancement.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine staffing update retained."
TC050-WEB-003,TC050,Project for Pride in Living,2026-01-15,website,https://www.ppl-inc.org/news,news,"PPL among nearly 60 Minnesota organizations receiving funding from DEED","PPL announces receipt of DEED funding supporting its Building Operations Technician pathway.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine program/funding update retained."
TC050-WEB-004,TC050,Project for Pride in Living,2026-01-21,website,https://www.ppl-inc.org/news,statement,"PPL STATEMENT ON RECENT ICE ACTIVITY IMPACTING THE COMMUNITIES WE SERVE","PPL leadership addresses recent ICE and border-enforcement activity across Minnesota and its impact on communities served.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Crisis/enforcement statement retained without analytical coding."
TC050-WEB-005,TC050,Project for Pride in Living,2026-01-28,website,https://www.ppl-inc.org/news,news,"Opportunity Crossing Featured in Tax Credit Advisor Article","PPL highlights media coverage of Opportunity Crossing and its community-centered development history.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine media/real-estate communication retained."
TC050-WEB-006,TC050,Project for Pride in Living,2026-02-02,website,https://www.ppl-inc.org/news,news,"Minneapolis Residents Wear Their Passports, Desperate to Ward Off ICE","PPL highlights New York Times coverage featuring PPL staff and family members discussing heightened ICE activity and carrying proof of citizenship for reassurance.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Media-coverage item retained."
TC050-WEB-007,TC050,Project for Pride in Living,2026-02-11,website,https://www.ppl-inc.org/news,news,"Black History Month Spotlight: Q&A with Rashida Jackson, PPL's VP of Housing Operations","PPL publishes a Black History Month Q&A with its Vice President of Housing Operations.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Cultural/organizational communication retained."
TC050-WEB-008,TC050,Project for Pride in Living,2026-02-16,website,https://www.ppl-inc.org/news,news,"PPL's President and CEO feature in Mill City Times article","PPL highlights a Mill City Times profile of President and CEO Karla Henderson.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine media/leadership communication retained."
TC050-WEB-009,TC050,Project for Pride in Living,2026-02-18,website,https://www.ppl-inc.org/news,news,"Project for Pride in Living Welcomes Kelley Zarwell as Senior Director of Property Management","PPL announces Kelley Zarwell as Senior Director of Property Management.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine staffing update retained."
TC050-WEB-010,TC050,Project for Pride in Living,2026-02-23,website,https://www.ppl-inc.org/news,news,"Why Minnesota’s Contract Alternative Program Bill Matters for Young People in 2026","PPL explains the importance of Minnesota's Contract Alternative Program facilities-aid legislation for young people.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Policy communication retained."
TC050-WEB-011,TC050,Project for Pride in Living,2026-02-27,website,https://www.ppl-inc.org/news,news,"PPL's President and CEO testifies to help move $9 million in emergency funding forward for supportive housing","PPL reports Karla Henderson's testimony urging lawmakers to advance emergency funding for supportive housing providers.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Advocacy/policy communication retained."
TC050-WEB-012,TC050,Project for Pride in Living,2026-03-13,website,https://www.ppl-inc.org/news,news,"PPL President and CEO Karla Henderson Named a 2026 Power Shift 25 Honoree","PPL reports recognition of Karla Henderson as a 2026 Power Shift 25 honoree.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine leadership recognition retained."
TC050-WEB-013,TC050,Project for Pride in Living,2026-03-23,website,https://www.ppl-inc.org/news,news,"Project for Pride in Living welcomes new Associate Vice President of Equity and Talent Development","PPL announces Faith Jackson as Associate Vice President of Equity and Talent Development.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Routine staffing update retained."
TC050-WEB-014,TC050,Project for Pride in Living,2026-03-25,website,https://www.ppl-inc.org/news,statement,"PPL's Statement of Support for Minnesota's Supplemental Budget Proposal","PPL expresses support for housing stability and affordability priorities in Minnesota's supplemental budget proposal.",English,text,,uncoded,2026-09-22,retrieved,"Official PPL News & Insights archive","Policy statement retained."
