item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC074-WEB-001,TC074,COPAL,2026-01-07,website,https://copalmn.org/copal-condemns-ice-shooting-during-minneapolis-hsi-investigation/,news_statement,"COPAL Condemns ICE Shooting During Minneapolis HSI Investigation","COPAL condemns a fatal ICE-related shooting in Minneapolis, describes alarm and heartbreak, and calls for accountability and protection of immigrant communities.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Previously represented in earlier enforcement-focused batch; retained here as part of full census."
TC074-WEB-002,TC074,COPAL,2026-01-15,website,https://copalmn.org/copal-repudiates-ice-violence-and-demands-immediate-federal-accountability/,news_statement,"COPAL Repudiates ICE Violence and Demands Immediate Federal Accountability","COPAL describes escalating immigration-enforcement violence, terror, fear, confusion, family trauma, and community disruption and demands federal accountability.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Previously represented in earlier enforcement-focused batch; retained here as part of full census."
TC074-WEB-003,TC074,COPAL,2026-01-22,website,https://copalmn.org/iceout/,event_notice,"ICE OUT OF MINNNESOTA MARCH | JAN 23","COPAL promotes a January 23 march calling for ICE to leave Minnesota and mobilizes public participation.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Previously represented in earlier enforcement-focused batch; retained here as part of full census."
TC074-WEB-004,TC074,COPAL,2026-01-23,website,https://copalmn.org/virtual-caucus-education-trainings/,training_notice,"Virtual Caucus Education Trainings","COPAL invites immigrant-community members to virtual caucus education trainings and frames caucus participation as a next step in civic engagement after public advocacy.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Previously represented in earlier enforcement-focused batch; retained here as part of full census."
TC074-WEB-005,TC074,COPAL,2026-02-13,website,https://copalmn.org/one-year-after-launching-love-your-immigrant-neighbor-campaign-copal-demands-accountability-following-announcement-of-end-of-operation-metro-surge/,news_statement,"One Year After Launching Love Your Immigrant Neighbor Campaign, COPAL Demands Accountability Following Announcement of End of Operation Metro Surge","COPAL marks one year of its immigrant-neighbor campaign, argues that ending Metro Surge does not erase harms, and highlights fear, trauma, disrupted healthcare, economic damage, solidarity, and accountability.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item."
TC074-WEB-006,TC074,COPAL,2026-02-17,website,https://copalmn.org/copal-launches-2026-legislative-agenda-with-gathering-at-the-minnesota-capitol/,news_release,"COPAL Launches 2026 Legislative Agenda with Gathering at the Minnesota Capitol","COPAL launches its 2026 legislative agenda covering immigration, healthcare, education, housing, environmental justice, workers’ rights, and protection of immigrant families.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item; not solely enforcement-focused."
TC074-WEB-007,TC074,COPAL,2026-02-20,website,https://copalmn.org/copal-constitutional-observer-traninings-in-mankato/,training_notice,"COPAL Constitutional Observer Traninings in Mankato","COPAL announces recurring constitutional-observer trainings on safely documenting and responding to federal immigration-enforcement operations and supporting impacted families.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item."
TC074-WEB-008,TC074,COPAL,2026-02-27,website,https://copalmn.org/while-federal-raids-disrupt-lives-copal-and-immigrant-defense-network-raise-over-1-5-million-to-stabilize-families-across-minnesota/,news_release,"While Federal Raids Disrupt Lives, COPAL and Immigrant Defense Network Raise Over $1.5 Million to Stabilize Families Across Minnesota","COPAL and IDN report raising more than $1.5 million in emergency relief as raids disrupted work, school, healthcare, businesses, and family stability; the release describes continuing fear, grief, trauma, and economic strain.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item."
TC074-WEB-009,TC074,COPAL,2026-03-05,website,https://copalmn.org/from-minnesota-to-selma-a-human-rights-delegation-on-democracy/,news_release,"FROM MINNESOTA TO SELMA: A HUMAN RIGHTS DELEGATION ON DEMOCRACY","COPAL announces participation in a Minnesota delegation to Selma connecting voting-rights history with immigrant rights, civic participation, due process, democracy, and multiracial solidarity.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item; broader democracy/civic engagement communication."
TC074-WEB-010,TC074,COPAL,2026-03-05,website,https://copalmn.org/noem-is-out-but-the-harm-remains-copal-demands-full-investigation-into-operation-metro-surge-abuses/,news_statement,"Noem is Out, but the Harm Remains: COPAL Demands Full Investigation into Operation Metro Surge Abuses","COPAL argues personnel change does not end enforcement harms and describes raids, family separation, detention, fear, trauma, economic damage, deaths, and demands for investigation and accountability.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Previously represented in earlier enforcement-focused batch; retained here as part of full census."
TC074-WEB-011,TC074,COPAL,2026-03-19,website,https://copalmn.org/copal-statement-on-dolores-huertas-revelation-and-the-need-for-accountability-in-our-movements/,news_statement,"COPAL Statement on Dolores Huerta’s Revelation and the Need for Accountability in Our Movements","COPAL responds to Dolores Huerta’s disclosure of sexual harm by emphasizing dignity, truth, survivor courage, ethical leadership, accountability, and opposition to gender-based violence within social movements.",English,text,,uncoded,2026-09-21,retrieved,"Official COPAL news archive","Full-census item; not immigration-enforcement communication but included under census rule."
