item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC025-WEB-001,TC025,Twin Cities Habitat for Humanity,2025-12-12,website,https://www.tchabitat.org/blog/learn-about-the-state-housing-tax-credit-and-contribution-fund,blog,"Support Minnesota Housing and Receive a Tax Credit","Twin Cities Habitat explains Minnesota's State Housing Tax Credit program and encourages participation in support of affordable housing.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine housing/fundraising communication retained."
TC025-WEB-002,TC025,Twin Cities Habitat for Humanity,2026-01-05,website,https://www.tchabitat.org/blog/winter-volunteer-opportunities-minneapolis,blog,"Volunteer as a Winter Warrior and Warm Your Heart","Twin Cities Habitat promotes winter volunteering opportunities and its Winter Warrior recognition campaign.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine volunteer communication retained."
TC025-WEB-003,TC025,Twin Cities Habitat for Humanity,2026-01-08,website,https://www.tchabitat.org/blog/first-time-homeownership,blog,"First-Time Homebuyer Glossary: Essential Terms You Need to Know","Twin Cities Habitat provides a glossary explaining common first-time homebuyer terms.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine educational communication retained."
TC025-WEB-004,TC025,Twin Cities Habitat for Humanity,2026-01-16,website,https://www.tchabitat.org/blog/topic/the-heights,blog,"2025 City Budgets: Affordable Housing and Homeownership Stabilization","Twin Cities Habitat discusses Minneapolis and St. Paul budgets and affordable-housing/homeownership priorities.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog topic archive","Direct article URL to reconcile; date/title explicit in first-party archive."
TC025-WEB-005,TC025,Twin Cities Habitat for Humanity,2026-01-21,website,https://www.tchabitat.org/blog/how_to_build_generational_wealth_through_homeownership,blog,"How to Build Generational Wealth Through Homeownership","Twin Cities Habitat explains home equity and generational wealth through homeownership.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine educational communication retained."
TC025-WEB-006,TC025,Twin Cities Habitat for Humanity,2026-01-26,website,https://www.tchabitat.org/blog/many-ways-to-support-the-mission-a-message-from-board-chair-tony-barranco,blog,"Many Ways to Support the Mission: A Message from Board Chair Tony Barranco","Board Chair Tony Barranco reflects on volunteering, donor support, and commitment to Habitat's mission.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Leadership/donor communication retained."
TC025-WEB-007,TC025,Twin Cities Habitat for Humanity,2026-02-18,website,https://www.tchabitat.org/blog/page/3,blog,"Women Build Recap: 2025 Season in Review","Twin Cities Habitat recaps the 2025 Women Build season and recognizes volunteers, donors, and leaders.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog archive","Direct article URL to reconcile."
TC025-WEB-008,TC025,Twin Cities Habitat for Humanity,2026-02-23,website,https://www.tchabitat.org/blog/local-leaders-join-2026-board-of-directors-at-twin-cities-habitat,blog,"Local Leaders Join Board of Directors at Twin Cities Habitat","Twin Cities Habitat announces new board members and executive-committee leadership.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine governance update retained."
TC025-WEB-009,TC025,Twin Cities Habitat for Humanity,2026-02-23,website,https://www.tchabitat.org/blog/local-leaders-join-tchfh-lending-inc-board,blog,"Local Leaders Join Board of Directors at TCHFH Lending, Inc.","Twin Cities Habitat announces new board members and leadership for its nonprofit lending subsidiary.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Subsidiary governance communication retained because it appears in parent organization's main blog."
TC025-WEB-010,TC025,Twin Cities Habitat for Humanity,2026-02-24,website,https://www.tchabitat.org/blog/buds-old-house,blog,"Bud’s Old House Gets a Second Chance","Twin Cities Habitat tells the story of a Roseville project linked to longtime volunteer Elmer 'Bud' Helmen and Bud's Bunch.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Volunteer/community story retained."
TC025-WEB-011,TC025,Twin Cities Habitat for Humanity,2026-03-04,website,https://www.tchabitat.org/blog/federal-advocacy-in-2026,blog,"Federal Advocacy in 2026: Takeaways from Habitat on the Hill D.C.","Twin Cities Habitat recounts its federal advocacy trip and affordable-housing policy meetings in Washington, D.C.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Advocacy communication retained."
TC025-WEB-012,TC025,Twin Cities Habitat for Humanity,2026-03-16,website,https://www.tchabitat.org/blog/new-resource-for-minnesota-homeowners-the-cic/hoa-ombudsperson,blog,"New Resource for Minnesota Homeowners: The CIC/HOA Ombudsperson","Twin Cities Habitat explains Minnesota's new CIC/HOA Ombudsperson resource for homeowners and associations.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Resource/policy communication retained."
TC025-WEB-013,TC025,Twin Cities Habitat for Humanity,2026-03-25,website,https://www.tchabitat.org/blog/how-energy-efficiency-helps-homebuyers-at-the-heights,blog,"How Energy Efficiency Helps Homebuyers at The Heights","Twin Cities Habitat explains how energy-efficient home design at The Heights can protect homebuyers from high utility costs.",English,text,,uncoded,2026-09-22,retrieved,"Official Twin Cities Habitat blog","Routine educational/development communication retained."
